name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Expected Parrot,Fall 2025,Simulate your customers with AI agents,https://www.expectedparrot.com,expected-parrot,B2B,Generative AI; SaaS; Open Source,5,"Boston, MA, USA",Active,Early,CaaS Platform,B2B,Agent Building Platform,0.95,"Expected Parrot provides an open-source library and no-code app to design and simulate custom AI agent personas, enabling others to build and run agents.","Expected Parrot helps companies simulate their customers with AI agents to explore pricing, product, marketing, communications and other scenarios at scale. Our open-source library and no-code web app let you design custom agent personas and conduct interviews and surveys with them using LLMs of your choice to generate results and reports. Everything is cached and reproducible, and you can send the same surveys to human respondents to validate results in the same interface."
Hypercubic,Fall 2025,Agentic AI for Mainframe Operations and Modernization,https://www.hypercubic.ai/,hypercubic,B2B,,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.9,"Hypercubic is an AI-native platform that understands and modernizes legacy systems using AI agents capable of reasoning about complex infrastructure, indicating it enables agentic AI for enterprise operations.","Hypercubic is an AI-native platform for mainframe operations and modernization.

We help enterprises understand and modernize their mission-critical legacy systems. About 70% of the Fortune 500 companies still rely on them to run their core business applications in banking, insurance, telecom, airlines, retail, and more.

These systems, originally built in the 1960s–90s, still power trillions in global infrastructure today but have become increasingly opaque as original developers retire or leave the workforce. 

We are pioneering a new class of intelligence capable of understanding, reasoning about, and rebuilding the world’s foundational infrastructure.

Learn more at hypercubic.ai"
Hyperspell,Fall 2025,Memory for AI Agents,https://hyperspell.com,hyperspell,B2B; Infrastructure,Artificial Intelligence; Machine Learning; SaaS; Data Engineering,6,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Memory & State,0.95,"Hyperspell provides a memory and context layer specifically for AI agents, enabling them to maintain real-world context and personalized memory, which is core infrastructure for AI agents.","Hyperspell is the Memory & Context Layer for AI Agents.

AI agents are clueless geniuses. They crush humans on any standardized test, but wouldn't last a day at a real job. What today's super-intelligent agents are missing is the real world context they are operating in. A context that humans stitch together from hundreds of data points across dozens of interactions and channels. A context that grows with their tasks.

Hyperspell gives AI agents this context by connecting to their user’s workspace data and building a personalized memory and context layer."
Jarmin,Fall 2025,AI Employees for human-level roles,https://jarmin.ai/,jarmin,B2B,,4,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.9,"Jarmin builds AI employees that learn responsibilities, embed into systems, and automate complex workflows, indicating it provides customizable autonomous AI agents for various roles.","Jarmin.ai builds AI employees for human-level roles. It learns its responsibilities, understands your data, embeds into your systems, and becomes part of your team's day-to-day workflow. Completely hand over full initiatives or individual tasks.

Hire AI ML Engineers, Account Executives, Paralegals, Financial analysts, Compliance analysts, and more.

Jarmin’s founding team is from Meta SuperIntelligence Labs (Staff Engineers), Apple (Machine Learning Engineer), AWS (scaling infra), Lockheed-Martin (Research), and JPMorganChase (SWE) with experience building AI/ML and automating complex work of Researchers, Data Scientists, ML Engineers with AI."
Karumi,Fall 2025,The Waymo of Personalized demos,https://www.karumi.ai/,karumi,B2B; Sales,,5,,Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.9,"Karumi offers an AI agent that autonomously joins live video calls to deliver personalized product demos, a specific autonomous agent product for sales.","Karumi is an AI agent that joins a live video call with your prospects to deliver personalized product demos, 24/7, in any language.

It bridges the gap between your landing page and your sales team by engaging visitors at the peak of their interest, turning curiosity into conversion. For those not ready to talk to sales but eager to explore, Karumi offers the next generation of interactive, self-guided demos."
Kestrel AI,Fall 2025,AI Agents for Platform Engineering,https://usekestrel.ai/,kestrel-ai,B2B; Security,AIOps; Kubernetes; Cloud Computing; Infrastructure,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Orchestration,0.95,"Kestrel AI provides an AI automation layer for platform engineering teams, turning natural language into workflows with integrations, indicating a platform for building and orchestrating AI agents.","Kestrel is the AI automation layer for platform engineering teams.

Platform teams use Kestrel to automate incident response, cloud provisioning, CI/CD, security, and developer requests across their stack.

Kestrel turns natural-language prompts into deterministic, production-ready workflows with 25+ integrations, 140+ pre-built actions, and support for custom HTTP and webhook actions.

Developer-first, with a CLI, Python SDK, and MCP server to manage workflows from where platform teams already work."
Koyal,Fall 2025,Agentic AI Filmmaking Platform,https://koyal.ai,koyal,Consumer; Content,Generative AI; Entertainment; Video; Media; Creator Economy,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Consumer,Vertical Agent Product,0.9,"Koyal is an agentic AI filmmaking platform that converts scripts/audio into personalized stories autonomously, a specific vertical agent product for content creation.","Koyal is an Agentic AI Filmmaking Platform that allows you to seamlessly convert script or audio into personalized, visually compelling stories. We’re a team from Carnegie Mellon, MIT and Meta, with experience in AI video generation.

https://koyal.ai builds directly upon our published research at the AI conference NeurIPS in December. We’ve been covered in the international press for our patented secure personalization protocol CHARCHA: the genAI captcha.

Announcement: https://x.com/meh_agarwal/status/1965866965425348687
Demo: https://x.com/meh_agarwal/status/1965137062119752099


We currently have paid pilots with the biggest global music labels, podcasts and production houses, and just launched our public beta at beta.koyal.ai

We recently concluded a pilot with Universal Music and T-Series (world’s largest music label) alongside Bollywood production houses like Maddock Entertainment, and Collective Artists Network! As part of that, we launched 5 music videos for Grammy and Oscar winning artists like A R Rahman, Ricky Kej and Shankar Mahadevan all crossing 1.5 million views!

We've recently built SOTA capabilities in (i) multilingual script to audio to video, (ii) Agentic lip-sync with dynamic movement & (iii) Multi-character consistency."
Lemma,Fall 2025,Production Monitoring for AI agents,https://www.uselemma.ai/,uselemma,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B; Infrastructure; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Evaluation & Monitoring,0.95,"Lemma provides production monitoring specifically for AI agents, helping identify failures and improve agent performance, indicating it supports agent infrastructure.","Lemma catches the silent, semantic failures your observability tools miss, where your AI agent looks like it worked but didn’t. We scan every trace to surface issues before users complain, identify root causes, and help you fix them without manual digging, so your agents improve over time."
Lexi,Fall 2025,AI Associates for Corporate Law,https://getlexi.io/,lexi,B2B; Legal,Artificial Intelligence; SaaS; B2B; Legal; LegalTech,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.95,"Lexi builds AI associates specialized for corporate law that autonomously handle legal documents and cases, a single-purpose AI agent product.","At Lexi, we are building AI associates for Corporate Law. Our associates learn your firm's standards and improve with every case, having already handled 135,000+ documents across 7,000+ cases."
Locus,Fall 2025,Payment infrastructure for AI agents,https://paywithlocus.com,locus,"B2B; Engineering, Product and Design",Finance; AI,2,,Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Payments,0.98,"Locus provides payment infrastructure specifically designed for autonomous AI agents, enabling secure transactions and spending controls, clearly agent-enabling infrastructure.","We make your agents pay.

As agents evolve from tools into dependable, autonomous actors, they’ll need the ability to execute open-ended workflows end-to-end.

This inevitably means payments: accessing paywalled data, transacting for services or with other specialist agents. But autonomy requires guardrails. Businesses and developers will need a way to ensure their agents only spend how much and on what they’re supposed to.

The machine economy is coming, and Locus (YC F25) is building the connector businesses will need to participate. We connect agents securely to funds, letting you define permissions and limits for every transaction. Each payment is traceable, auditable, and fully reconcilable with your existing financial stack."
Logical,Fall 2025,"A proactive desktop copilot. Clippy, but actually good.",https://logical.io,logical,B2B; Productivity,Consumer; B2B; Productivity; AI; AI Assistant,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.9,"Logical is a proactive desktop AI copilot that autonomously assists with tasks across apps, acting as a single-purpose AI agent product for productivity.","Logical is a desktop AI that acts as a proactive and largely promptless copilot, designed to reduce the friction of using AI for everyday tasks. It transfers context across apps, and allows taking action on many apps with just a few clicks. Logical can assist with drafting emails, writing docs, noting meetings and can even automatically detect action items. Need to prompt? Logical can understand intent in much fewer words than a regular chatbot. Plus, user data is never sent to Logical servers. Logical is the AI resurrection of Clippy, but actually good."
Lua Global Inc,Fall 2025,The mid-market agent platform,https://heylua.ai/,lua-global-inc,B2B,,5,"London, United Kingdom",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Lua is an agent platform enabling mid-market companies to deploy AI agents for sales, support, and operations, providing agent infrastructure and tools.","Lua is the mid-market agent platform.

We deliver enterprise reliability with the speed, flexibility, and economics that mid-market companies demand - helping them deploy AI agents that drive sales, support, and operations across everyday channels and tools.

We scale through developer agencies and channel partners, enabling rapid distribution without a large enterprise sales motion or scaled forward deployed teams. We think of Lua as an agentOS that abstracts all of the complexity required to launch enterprise grade agents and combine it with the tools needed for these agents to succeed in the real world.

Lua was founded by Lorcan O Cathain (CEO) and Stefan Kruger (CTO)- experienced founders who have spent 15 - 20 years each scaling technology companies across emerging markets.

We sell to mid-market enterprises and developer agencies in the US and internationally. Developers are increasingly our primary ICP but we run SMB & enterprise sales motions to accelerate our learnings and further develop our product:
- SMB ($25- 1k per month): fully automated self-serve agents that handle sales and support for eCommerce companies, hotels, restaurants and general service businesses. If you’ve been on our website you’ve likely seen this.
- Enterprise: We directly sell to mid-market (~ $50M- $1BN) businesses across the US and internationally to eat our own dog food and strengthen our platform.
"
LunaBill,Fall 2025,AI Voice callers for healthcare billing teams,https://lunabill.com/,lunabill,Healthcare; Healthcare IT,Generative AI; Health Tech; Healthcare; Healthcare IT; AI,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"LunaBill builds AI voice callers that autonomously handle healthcare billing calls, a single-purpose AI agent product for healthcare billing teams.","LunaBill is building AI Voice callers for healthcare billing teams. Insurance claim follow-up calls account for the 80% of the daily workload of a healthcare billing team, with each call averaging 30 minutes.

Since our launch in July we are now at $764K in contracted ARR, of which $428K is live revenue and the rest will go live by January 2026. Our customers see a 10x increase in claims followed up per biller in the first week and we have converted 100% of pilots to paying customers. We have automated 50,000+ calls and signed partnerships with top healthcare leaders like UC health systems, Mayo, Experian Health and more.

The founders have known each other for over a year. Suhail is a 2x founder, with 3+ years of experience building in healthcare including operating a medical billing company with 200+ healthcare clients. David founded Skiesoft, Taiwan’s biggest healthcare AI scribe company, used by 120k+ healthcare professionals. He also worked as a data scientist at UCSF, building models to audit medical-coding accuracy. Yash was a researcher at various hospital systems including Mayo Clinic.
"
Lunavo,Fall 2025,Lunavo is the AI assistant for carriers.,https://lunavo.ai,lunavo,B2B; Supply Chain and Logistics,Logistics; Transportation; Operations; AI Assistant,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Supply Chain and Logistics,Vertical Agent Product,0.95,"Lunavo builds an AI assistant that autonomously runs carrier operations, handling repetitive tasks and escalations, a vertical single-purpose agent.","We build AI that runs carrier operations.

Lunavo is the AI assistant for carriers. It plugs directly into their existing toolstack, understands their processes, and monitors all incoming data and requests. Lunavo runs end-to-end backoffice operations, handling repetitive tasks, resolving issues autonomously, and escalating only what matters.

Lunavo helps carriers scale operations without scaling headcount."
MOVEdot,Fall 2025,AI Agents for Hardware Engineering,https://www.movedot.ai/,movedot,"B2B; Engineering, Product and Design",Hardware; Manufacturing; AI; Automotive; Industrial,10,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Orchestration,0.9,"MOVEdot provides a platform to orchestrate AI agents for hardware engineering tasks, enabling users to build and run multiple agents for complex workflows.","Our agents run hardware engineering tasks that normally take hours or days in just a few minutes, allowing engineers to process 100x more data and information. Our platform allows hardware engineers to orchestrate agents for tasks such as analyzing failures across entire test campaigns, pulling the right data and KPIs from their databases, checking how conditions (like temperature or load) affect performance and reliability, and then document findings in reports and dashboards."
MadeThis,Fall 2025,The autonomous business platform,https://madethis.com,madethis,B2B; Operations,Operations; AI,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.7,"MadeThis is described as an autonomous business platform, implying a single-purpose AI agent product automating operations, though details are limited.",
Mantle,Fall 2025,Build internal agents to automate back office work with one prompt,https://www.mantle.work,mantle,B2B; Operations,,4,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Mantle enables building internal agents that automate back office work across multiple tools with one prompt, indicating an agent-building platform.","Mantle connects to all your tools: your CRM, Mail, Calendar, Payments, Product Analytics, and more. With just one prompt, you can create agents that handle back office work for you.

These agents can automate reports  and email them to you, drafts emails right in your email client, generates pre-meeting research directly in your calendar event, and much more. They run quietly in the background, react to changes in real time, follow a schedule or work when you chat with them. 

You didn’t start up to stay stuck in admin. Turn your company AI-native with Mantle."
MarkIt,Fall 2025,AI Agents for Trade Compliance - Saving Companies from Tariffs,https://markittrade.com,markit,B2B; Supply Chain and Logistics,Workflow Automation; Logistics; Supply Chain; AI,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Supply Chain & Logistics,Vertical Agent Product,0.95,"MarkIt builds AI agents specifically for trade compliance workflows with reasoning, memory, and automation, making it a vertical single-purpose AI agent product.","MarkIt builds AI agents that work directly inside the workflows trade professionals use every day — Excel, PDFs, broker portals, and more. 
From defensible classification, ACE report audits, and a self-updating system of record, it serves trade professionals end to end with agents intelligent enough to work in the complex environment. 

MarkIt brings reasoning, memory, and automation to global trade compliance, helping Suppliers, Brokers, and OEMs reduce errors, save time, and streamline operations in the growingly intense world of Global Trade."
Metorial,Fall 2025,Agentic infrastructure to power AI-native companies.,https://metorial.com,metorial,B2B,,4,Remote,Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.9,"Metorial provides infrastructure to connect tools and skills for employees and AI clients with governance and access control, indicating an agent-enabling platform.","Metorial gives every employee, agent, and AI client in your company one place to connect tools and skills. Governance, access control, and tracing included."
Mod AI,Fall 2025,Touchless AP Automation,https://usemod.ai,mod-ai,B2B,Artificial Intelligence; Fintech; Finance; Enterprise,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.95,"Mod AI offers a fully autonomous AI agent for accounts payable automation, fitting the single-purpose vertical agent category.","We're building the first fully autonomous accounts payable platform.

Our AI clerks handle your entire AP workflow: invoice processing, GL coding, PO matching, approvals, responding to vendors, fraud detection and reporting. From the moment an invoice hits your inbox to the moment it's paid, no manual steps required.

We integrate with 16+ ERPs including QuickBooks, NetSuite, SAP, Dynamics 365, and Workday.

Find out why enterprise teams choose Mod AI at usemod.ai."
Moss,Fall 2025,Real-time semantic search for Conversational AI,https://moss.dev,moss,B2B,Artificial Intelligence; Developer Tools; SaaS,5,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Orchestration,0.9,"Moss builds real-time semantic search infrastructure enabling conversational and voice AI agents, positioning it as an agent-enabling platform.","Moss is building the real-time semantic search runtime for conversational and multimodal AI. Our system enables voice agents, copilots, and chat interfaces to retrieve, reason, and respond in sub-10 ms, delivering the responsiveness that makes AI interactions feel truly natural.

If you’ve ever built a conversational or voice AI product, you’ve felt the lag. That moment when an agent pauses and the illusion of intelligence breaks. The bottleneck is almost always retrieval. Each query hops across networks and databases, adding delay and cost. Moss eliminates that gap by keeping retrieval close to where the agent runs.

Moss runs natively across browsers, mobile devices, and servers with an optimized vector index built in Rust and WebAssembly. It enables teams to build AI products that feel instant, contextual, and adaptive. The experiences that sustain engagement and unlock new kinds of interaction. For our customers, this translates into tangible business value: stronger user retention, higher conversion, and entirely new product categories made possible by real-time understanding. Moss is already powering production pilots across voice AI and developer platforms, achieving sub-10 ms retrieval and 70–90% token savings compared to traditional pipelines."
Multifactor,Fall 2025,"Zero-trust authentication, authorization, and auditing for AI agents",https://multifactor.com,multifactor,B2B; Security,,6,"San Francisco, CA, USA",Active,Early,CaaS Platform,Security,Agent Auth & Identity,0.95,"Multifactor provides authentication, authorization, and auditing infrastructure specifically for AI agents, making it an agent infrastructure platform.","The agentic era is here, but its foundation is dangerously insecure. A growing number of high-profile ""AI agent gone rogue"" security incidents make headlines each week.

As enterprise adoption of agentic software has far outpaced the development of applicable cybersecurity solutions, CISOs have loudly voiced a growing need for verifiable, fine-grained security controls on complex multi-agent systems. That's why we built Multifactor.

Multifactor offers best-in-class authentication, authorization, and auditing technologies for agentic systems, allowing users to securely and revocably share online accounts with agents while maintaining fine-grained permissions and a detailed event history. We are doing for AI security what Cloudflare did for web security, Okta did for identity security, and Wiz did for cloud security: defining the category.

A world-class ""account manager"" that allows agents to securely use online accounts on your behalf is just the start—our early enterprise partners include companies using AI agents to manage $7.5+ billion manufacturing supply chains, where the consequences for lapses in security are severe. Our patented AI security technology seamlessly integrates with existing agentic software to thwart attacks like prompt injection, so CISOs and end users alike can breathe a sigh of relief, without slowing the pace of AI adoption."
Nerviom,Fall 2025,AI Autopilot for Infrastructure Permitting,https://www.nerviom.com,nerviom,Real Estate and Construction,Real Estate; Legal; AI; Industrial,1,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Real Estate,Vertical Agent Product,0.9,"Nerviom builds an AI autopilot agent to automate infrastructure permitting, a specific vertical use case fitting single-purpose agent.","Infrastructure projects like data centers, factories, and energy facilities require navigating hundreds of permits and regulatory approvals before construction can begin. 

Today this process is handled through consultants, spreadsheets, and thousands of pages of documentation, adding years to project timelines and millions in consulting costs.

We are building an AI autopilot to automate infrastructure permitting and regulatory compliance. 

Our goal is to significantly reduce the time and cost required to get infrastructure projects approved and built."
Nessie,Fall 2025,"A shared context layer for you, your team, and your agents.",https://nessielabs.com/,nessie,Consumer,,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Memory & State,0.95,"Nessie provides a shared context and memory layer for AI agents across platforms, enabling smarter agent interactions, thus an agent infrastructure platform.","Knowledge work is being restructured by AI. Strategy happens in Claude. Research happens in ChatGPT. Building happens in Claude Code. The people defining the next decade of work are already thinking with AI every day. But none of that thinking compounds. Every session starts from zero. The reasoning behind decisions, the context behind strategies, the evolution of ideas across hundreds of conversations - all of it evaporates.

Nessie is the infrastructure that makes it permanent. We auto-sync AI conversations across every major provider - ChatGPT, Claude, Gemini, Perplexity, Claude Code, OpenClaw, Codex, and more - and structure them into queryable, trustworthy context available to both humans and agents. No browser extension. No manual capture. Your thinking flows in automatically and compounds over time.

Today, Nessie is the memory layer that makes every AI interaction smarter - grounded in your actual reasoning, not the median. Your agents start with your accumulated thinking instead of a blank slate. Your decisions have provenance, traceable back to the conversation where the thinking happened.

Where we are going: the AI-native organization of the near future is a small team running thousands of agents. Those agents are powerful but amnesiac - they make decisions, form hypotheses, discover patterns, and forget everything between sessions. The organization's collective intelligence exists nowhere. There is no layer that integrates what the organization knows, what it has decided, and how its thinking has evolved. Nessie is that layer. Not another workspace. Not another wiki. The connective tissue that makes AI-native organizations possible.

Science has journals. Law has case law. Software has git. AI-native knowledge work has nothing. We are building the infrastructure for cumulative thinking in the AI era.

We are two Yale CS grads and former Amazon engineers. Backed by BoxGroup, Pioneer Fund, Y Combinator, Precursor, and more.

https://nessielabs.com"
Nexus,Fall 2025,We help non-technical teams build AI agents without engineers,https://agent.nexus,gpt,B2B,Artificial Intelligence; No-code; Enterprise Software,2,"Brussels, Brussels, Belgium",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Nexus enables non-technical teams to build production-ready AI agents without code, clearly an agent building platform.",Nexus enables non-technical teams in large organizations to build production-ready AI agents without code. 
Nori,Fall 2025,AI health coach in your pocket,https://nori.ai,nori,Healthcare; Consumer Health and Wellness,Artificial Intelligence; Consumer Health Services; Health Tech; Digital Health; Health & Wellness,3,"New York, NY, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Nori is an AI health coach agent providing personalized health plans, a vertical single-purpose AI agent product.","Nori is a concierge-level AI health coach in your pocket. 

It takes all of your health data—Apple Health, medical records, wearables, everything—and boils it down into a personalized daily plan.

Users love it: “It's truly one of the best apps and I check it first every day. Since using Nori, I've been limiting devices in bed and eating earlier—and I'll be damned if it's not working... I started getting more deep sleep, my resting HR dropped to 43, my recovery improved.”—Jen, Nori user""
"
Norra,Fall 2025,Automating equipment operations for nursing facilities,https://www.norra.io,norra,Healthcare,Artificial Intelligence; Hardware; Health Tech; Logistics; Healthcare,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Norra uses AI agents combined with physical trackers to manage equipment operations in nursing facilities, a vertical single-purpose agent product.","Norra helps nursing facilities manage equipment operations. Every year, ~$80 billion are spent on medical equipment like beds, concentrators, and wheelchairs. Nursing facilities continue to operate with zero visibility which leads to $15 billion in equipment waste annually. We use physical trackers and AI agents to eliminate this."
Primer,Fall 2025,AI Product Demos,https://www.startprimer.com,primer,B2B,Artificial Intelligence; SaaS; Sales; Customer Support,2,"Los Angeles, CA, USA",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.95,"Primer offers an AI agent that autonomously sells, onboards, and supports users through personalized walkthroughs, fitting the definition of a single-purpose AI agent product.","Primer is an AI agent that sells, onboards, and supports users automatically through live, personalized walkthroughs."
Prox,Fall 2025,AI technical support for complex physical products,https://useprox.com,prox,B2B; Retail,Artificial Intelligence; Customer Success; E-commerce; Customer Support,7,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.95,"Prox provides AI technical support agents specialized for complex physical products, acting as autonomous agents for customer support.","Every product ever sold needs support at some point. That support falls into one of two buckets.

Bucket 1: Simple stuff. T-shirts, screen protectors, keyboards. You buy it, it shows up, maybe you ask “where's my order?” once. This is solved. Zendesk and a hundred other horizontal companies solved it.

Bucket 2: Hard stuff. $20,000 industrial heaters. HVAC systems. CNC machines. Car parts. Products where buying wrong means your building doesn't have heat or your manufacturing line is down. Support for these products can only be performed by highly trained domain specialists and there aren't enough of them.

If you're selling EV charging stations, your support person needs to be a certified electrician who understands local power grids, installation codes, and compatibility matrices. You can't hire this off the street. You can't outsource it overseas.

You'd think LLMs would have solved this by now. They haven't. Three years into the LLM era, penetration in this industry is very low & the reason is twofold.

First, off-the-shelf models don't actually understand these products. The knowledge lives in 48-page technical manuals buried on some manufacturer's website in terrible formatting — wiring schematics, compatibility matrices, installation diagrams that can only make sense visually. A general-purpose LLM can't draw you the diagram showing how to connect terminal A to terminal B. It doesn't have the spatial understanding or the product-specific reasoning to be a real technical advisor. So companies still rely entirely on human experts.

Second, even if the models were good enough, there are no harnesses to make them useful in the business.

No engine to capture deep technical knowledge about complex physical products and keep it updated. No way for a company to offload tribal knowledge from their senior technicians into a system. No way to see what questions customers are actually asking and feed that back into the knowledge base. No generative multimodal presentation and no expressive voice support.

Prox is building the best technical product expert for extremely complicated physical products.

A multimodal agent that can draw wiring schemes, share CAD models, process incoming videos from a technician in the field, and support people over the phone with voice that can pass the Turing test. To get there, we're solving multimodal knowledge graph building at a very deep level. A huge portion of your work will be developing SOTA knowledge engines that can truly understand complex physical products.
"
Remedy,Fall 2025,AI Agents for Pharmacies,http://www.useremedy.co,remedy,Healthcare,Healthcare,2,,Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Remedy offers AI agents specifically designed to automate pharmacy prescription refills and patient care, indicating a single-purpose autonomous agent product in healthcare.","Streamline prescription refills, reduce workload, and enhance patient care with intelligent automation."
Rovi Health,Fall 2025,AI healthcare concierge for employees,https://www.rovi.health,rovi-health,Healthcare,Consumer Health Services; Health Tech; Digital Health; Healthcare; Health Insurance,3,"New York, NY, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Rovi Health provides AI healthcare concierge agents that autonomously analyze clinical data, find providers, and book appointments, fitting the definition of a vertical single-purpose AI agent in healthcare.","We deliver high-quality, cost-effective healthcare to employees through text. Employers cut 10–20% of healthcare spend. Employees get concierge care that improves outcomes.

Our AI agents analyze clinical data to identify care needs. We treat common conditions through our integrated virtual clinic. For more complex care, our agents find the best in-network providers using millions of price and quality data points, and handle end-to-end appointment booking. "
Rovr,Fall 2025,AI FDE Engine that runs your engineering workflows,https://www.withrovr.com/,rovr,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B,3,"San Francisco, CA, USA",Inactive,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Rovr offers an AI front desk agent that automates engineering workflows and coordination, acting as a single-purpose autonomous agent for engineering operations.","Rovr streamlines engineering operations by automating intake, triage, routing, and cross-team coordination. It replaces internal forms, manual Slack triage, and scattered docs with an AI front desk that understands requests, assigns owners, updates context, and posts status changes directly into Slack. Rovr’s built-in ops CRM gives teams a single system of record for eng requests — from tooling access to platform incidents to dev-infra workflows — reducing operational drag across the entire org."
Scoop,Fall 2025,Automating regulatory submissions for life sciences,https://scooplabs.ai,scoop,B2B,Artificial Intelligence; B2B; Biotech; Compliance; Biotechnology,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Scoop builds AI agents that automate regulatory submissions for life sciences, representing a vertical single-purpose autonomous agent product.","We’re building AI agents that speed up drug trials by automating the manual consolidation and document prep required for every IND submission. Today, biotechs spend months stitching together reports from contractors and internal teams just to file and get to their first-in-human trial."
Scott AI,Fall 2025,The planning layer for teams that build with coding agents,https://tryscott.ai,scott-ai,B2B,,3,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.85,"Scott AI provides a planning workspace for teams using coding agents, facilitating alignment before autonomous agents build code, indicating a single-purpose agent product.","Coding agents made writing code fast. But 6 engineers in a room will probably still disagree on what needs to be built.

Scott AI is a planning workspace where engineering teams align on what to build before their coding agents start building it."
SellRaze,Fall 2025,The fastest way to sell online.,https://sellraze.com,sellraze,Consumer,Artificial Intelligence; Marketplace; Consumer; E-commerce,6,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,E-commerce,Vertical Agent Product,0.9,"SellRaze is an AI-powered selling assistant that autonomously identifies, prices, and lists items, fitting a single-purpose AI agent in e-commerce.","SellRaze is an AI-powered selling assistant that helps anyone sell anything in seconds. Point your camera at any item and we'll identify it, price it, and create an engaging listing across multiple marketplaces, including our own.

Each day, more than 2,500 items are added to SellRaze, representing over $326,000 in inventory value."
Semble AI,Fall 2025,AI workflow automation for operations,https://www.sembleai.com,semble-ai,B2B,Artificial Intelligence; SaaS,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.9,"Semble builds custom AI agents trained on business processes and integrates with existing tools, enabling others to build and deploy agents, classifying it as an agent-enabling platform.","Semble builds custom AI agents trained on how your business actually runs and plugged into the tools your team already lives in.

Jonathan and Ethan met studying computer science at Stanford. Jonathan worked at Convergint, one of the world's largest building system integrators."
Semiotic,Fall 2025,Studio-Grade Design at Scale,http://semiotic.com,semiotic,"B2B; Engineering, Product and Design",,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Semiotic builds AI design agents that create landing pages, a specific autonomous agent product for design tasks.","Semiotic builds AI design agents. We’re starting with agents that build landing pages for fast‑growing startups. 

Existing AI website builders didn't make creating websites easier—they made creating ugly websites easier. So, companies choose between blue-purple gradient slop or agencies with 3-month waitlists and $100k minimums.

You don't have to choose anymore. 

Start a project: semiotic.com"
