name,tier,section,memory_model,desc_first
RMM (Reflective Memory Management),T3,— Experiential & procedural memory (agent learning from experience),Prospective + retrospective dual reflection,Combines forward-looking Prospective Reflection (multi-granularity summarisation into personalised memory bank) with backward-looking Retrospective Reflection (RL-driven retrieval refinement guided by cited evidence).
Agentic Plan Caching (APC),T3,— Experiential & procedural memory (agent learning from experience),Test-time plan-template memory,"Extracts, stores, adapts, and reuses structured plan templates from planning stages of agent applications."
MPO,T3,— Experiential & procedural memory (agent learning from experience),Meta plan optimisation,Boosts LLM agents with meta plan optimisation.
Agentic Memory,T4,— Working memory & context management,Unified short + long-term management,Learning unified long-term and short-term memory management.
Memory as Action,T4,— Working memory & context management,Autonomous context curation,Autonomous context curation for long-horizon agentic tasks.
IterResearch,T4,— Working memory & context management,Markovian state reconstruction,Rethinks long-horizon agents via Markovian state reconstruction.
MemSearcher,T4,— Working memory & context management,RL memory + search + reasoning,"Trains LLMs to reason, search, and manage memory via RL."
AgentFold,T4,— Working memory & context management,Proactive context management,Long-horizon web agents with proactive context management.
PRIME,T4,— Working memory & context management,Planning + retrieval-integrated memory,Planning- and retrieval-integrated memory for enhanced reasoning.
DeepAgent,T4,— Working memory & context management,General reasoning with scalable tools,General reasoning agent with scalable toolsets.
ACON,T4,— Working memory & context management,Context-compression optimisation,Optimises context compression for long-horizon LLM agents.
ReSum,T4,— Working memory & context management,Long-horizon search via summarisation,Unlocks long-horizon search intelligence via context summarisation.
Sculptor,T4,— Working memory & context management,Active context management,Empowers LLMs with cognitive agency via active context management.
MemAgent,T4,— Working memory & context management,RL multi-conv memory agent,Reshapes long-context LLM with multi-conv RL-based memory agent.
Agent S,T4,— Working memory & context management,Open agentic computer-use framework,Open agentic framework that uses computers like a human.
MemoBrain,T4,— Working memory & context management,Dependency-aware working-context compaction,Co-pilot alongside reasoning agent.
Recurrent Memory Transformer (RMT),T3,— Working memory & context management,Segment-level recurrence + memory tokens,Bulatov / Kuratov / Burtsev.
ARMT (Associative RMT),T4,— Working memory & context management,Hopfield-style energy basins,Associative Recurrent Memory Transformer.
Infini-attention,T4,— Working memory & context management,Compressive memory + linear attention,Google.
Transformer-XL,T3,— Working memory & context management,Segment-level recurrence + cached states,Extends context through segment-level recurrence + caching of hidden states from prior segments.
Compressive Transformer,T3,— Working memory & context management,Recent full-res + compressed older,Maintains recent states in full resolution while compressing older memories with learned compression functions.
TransformerFAM,T4,— Working memory & context management,Feedback Attention Memory,Google.
ATLAS,T4,— Working memory & context management,Omega rule + polynomial features + Muon,Long-term memory module that learns to memorise the context at test time.
LongMem,T4,— Working memory & context management,Trainable SideNet over memory bank,Trainable SideNet module selectively retrieves relevant cached key-value pairs from memory banks during decoding.
MemLong,T4,— Working memory & context management,Retrieval-causal attention + pruning,Retrieval Causal Attention actively prunes less important cached entries.
EM-LLM,T4,— Working memory & context management,Bayesian-surprise episodic partition,Uses Bayesian surprise detection to partition the cache into meaningful episodes for coherent retrieval.
NVIDIA Nemotron 3,T1,— Parametric & latent memory (memory in weights / KV / hidden states),"Hybrid Mamba + sparse KV-cache, 1M-token context",Interleaves sparse MoE layers with Mamba-2 layers; Mamba layers maintain a fixed-size recurrent state (constant memory during generation) rather than a growing KV cache.
Sakana CTM,T2,— Parametric & latent memory (memory in weights / KV / hidden states),Per-neuron history + neural synchronization as latent,Continuous Thought Machines.
NAVER Provence + PISCO,T2,— Parametric & latent memory (memory in weights / KV / hidden states),RAG context pruning + soft compression,Two complementary NAVER Labs Europe papers (Jan 2025).
ShadowKV (ByteDance),T2,— Parametric & latent memory (memory in weights / KV / hidden states),Low-rank CPU-offloaded KV cache + sparse reconstruction,"During prefill, value caches are offloaded to CPU and only low-rank pre-RoPE keys plus compressed landmarks and outliers are kept on GPU."
IBM Meta-Tokens,T2,— Parametric & latent memory (memory in weights / KV / hidden states),Lossless context compression via learned placeholders,Meta-tokens are learned vocabulary entries that act as placeholders for recurring token subsequences — the model is fine-tuned to understand compressed input where meta-tokens stand in for their corresponding subsequences without any information loss.
MemoryLLM (original),T2,— Parametric & latent memory (memory in weights / KV / hidden states),Fixed-size in-weights memory pool with online self-update,"Augments a transformer with a fixed-size 1B-parameter memory pool distributed across all layers; new knowledge is injected by updating the pool parameters during inference, not via context extension."
SELF-PARAM,T2,— Parametric & latent memory (memory in weights / KV / hidden states),KL-distillation experience internalization,Encodes new experiences directly into the LLM's existing parameters by minimizing KL divergence between a teacher model (with context access) and a student model (without).
Anthropic Circuit Tracing,T2,— Parametric & latent memory (memory in weights / KV / hidden states),Mechanistic interpretability of parametric storage,"Replaces MLP layers with sparse cross-layer transcoders to produce ""replacement models"" where activations correspond to interpretable features; traces attribution graphs showing which features causally influenced which outputs."
MemLoRA,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Distilled expert adapters,Distils expert adapters for on-device memory systems.
Larimar,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Distributed hippocampal episodic memory for editing,IBM Research.
Memory Decoder,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Pretrained plug-and-play memory,"Pretrained, plug-and-play memory for LLMs."
MLP Memory,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Retriever-pretrained external memory,Language modeling with retriever-pretrained external memory.
AlphaEdit,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Null-space knowledge editing,Null-space-constrained knowledge editing for language models.
ELDER,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Mixture-of-LoRA model editing,Enhances lifelong model editing with mixture-of-LoRA.
WISE,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Knowledge memory for lifelong editing,Rethinks knowledge memory for lifelong model editing.
SDM Activations,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Similarity-Distance-Magnitude activations,Novel activation approach for memory.
M+ (MemoryLLM),T4,— Parametric & latent memory (memory in weights / KV / hidden states),Scalable long-term latent memory,Extends MemoryLLM with scalable long-term memory.
Memory³,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Explicit memory in LLM,Language modeling with explicit memory.
MemGen,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Generative latent memory,Weaves generative latent memory for self-evolving agents.
MEM1,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Synergised memory + reasoning,Learns to synergise memory and reasoning for efficient agents.
RazorAttention,T3,— Parametric & latent memory (memory in weights / KV / hidden states),KV-cache compression via retrieval heads,Efficient KV-cache compression through retrieval heads.
SnapKV,T3,— Parametric & latent memory (memory in weights / KV / hidden states),KV-cache pre-selection,LLM knows what you're seeking before generation.
LM2,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Large memory models,Large memory models — explicit external memory module within transformer.
SoftCoT,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Soft chain of thought,Soft chain-of-thought for efficient reasoning with LLMs.
H2O,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Heavy-hitter oracle KV eviction,Heavy-hitter oracle for efficient generative inference.
Memorizing Transformers,T3,— Parametric & latent memory (memory in weights / KV / hidden states),External memory in transformers,Architecture with external retrieval memory in the transformer.
Memformer,T3,— Parametric & latent memory (memory in weights / KV / hidden states),External KV + Memory Replay Backprop,External key-value stores with similarity-based cache management; trained with Memory Replay Backpropagation.
EMAT,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Sub-ms KV memory for QA pairs,Efficient Memory-Augmented Transformer.
MATTER,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Heterogeneous-source neural memory,Memory-Augmented Transformer Using Heterogeneous Knowledge Sources.
MemReasoner,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Iterative bidirectional-GRU re-read,IBM Research.
CDMem,T3,— Parametric & latent memory (memory in weights / KV / hidden states),3-stage encoding + graph indexing,Context-Dependent Memory framework.
Transformer²,T4,— Parametric & latent memory (memory in weights / KV / hidden states),SVD + dynamic expert blending,Encodes procedural expertise using SVD decomposition with dynamic expert-vector blending.
NAMMs,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Evolution-trained KV-cache memory,Sakana AI.
Memory Layers at Scale,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Trainable KV layers + product-key,Meta.
Differentiable Search Index (DSI),T3,— Parametric & latent memory (memory in weights / KV / hidden states),Corpus encoded into model weights,Encodes entire document corpora directly into Transformer parameters; the model itself becomes the index.
MemBART,T4,— Parametric & latent memory (memory in weights / KV / hidden states),Memory states across dialogue turns,Preserves memory states across dialogue turns for coherent long-term interactions.
AiT (Associative Transformer),T3,— Parametric & latent memory (memory in weights / KV / hidden states),Hopfield + low-rank explicit memory,Global Workspace Layer combining low-rank explicit memory + bottleneck attention + Hopfield-style associative memory.
Memformers (gradient memory),T4,— Parametric & latent memory (memory in weights / KV / hidden states),Past-gradient memory registers,Treats past optimisation gradients as memory registers for procedural computation.
WorkMATe,T3,— Parametric & latent memory (memory in weights / KV / hidden states),Bio-inspired RL-gated memory slots,Kruijne et al.
I-JEPA,T3,— World-model & imagination memory,Joint-embedding predictive arch (image),Meta.
V-JEPA 2,T4,— World-model & imagination memory,Video-JEPA + understanding/prediction/planning,Meta.
DreamerV3,T3,— World-model & imagination memory,Model-based RL with imagination,Hafner et al.
Dreamer 4,T4,— World-model & imagination memory,Scalable agent in fast world model,Hafner / Yan.
R2I,T4,— World-model & imagination memory,DreamerV3 + S4 long-range memory,Memory-enhanced model-based RL agent built on DreamerV3.
Genie,T3,— World-model & imagination memory,Foundation world model from video,DeepMind.
V-JEPA (original),T4,— World-model & imagination memory,Non-generative video world model,Meta AI.
DIAMOND,T3,— World-model & imagination memory,Diffusion world model for RL,DIffusion As a Model Of eNvironment Dreams.
PWM (Policy Learning with Large World Models),T4,— World-model & imagination memory,Multi-task world-model + first-order gradient policies,"Pre-trains a large multi-task world model on offline data across many continuous-control tasks, then extracts task-specific policies by differentiating through the model with first-order gradient optimisation."
RIKEN Tensor Decomposition Incremental Learning,T3,— Continual learning & catastrophic forgetting,Tensor-decomposed exemplar compression,"Uses tensor decomposition to exploit low intrinsic dimensionality and pixel correlation of stored exemplar images, achieving high compression while preserving discriminative information for class-incremental learning."
EWC (Elastic Weight Consolidation),T3,— Continual learning & catastrophic forgetting,Quadratic constraint per weight,Kirkpatrick et al.
CL of LLMs Survey,T3,— Continual learning & catastrophic forgetting,Continual learning of LLMs (survey),Comprehensive survey.
FOREVER,T4,— Continual learning & catastrophic forgetting,Forgetting-curve memory replay,"Replay scheduler inspired by the Ebbinghaus forgetting curve, plus intensity-aware regularisation to control replay strength."
SERS,T4,— Continual learning & catastrophic forgetting,Self-evolving pseudo-rehearsal,Dynamic regulariser driven by Wasserstein distance between task distributions; automatically relaxes or strengthens constraints in proportion to task similarity.
Neural Episodic Control,T3,— Memory-augmented reinforcement learning,Differentiable episodic dictionary,Pritzel et al.
EMU (Efficient Episodic Memory Utilization),T3,— Memory-augmented reinforcement learning,Coherent-memory MARL,Multi-agent RL with semantically coherent episodic buffer; selectively promotes desirable transitions to avoid local convergence.
HAMI,T3,— Memory-augmented reinforcement learning,Hippocampus-inspired RL framework,"Symbolic indexing + hierarchical memory refinement + structured episodic retrieval, inspired by hippocampal mechanisms."
LLM-ACTR / Cognitive LLMs,T3,— Cognitive-architecture-inspired memory,ACT-R latent representations injected into LLM,Neuro-symbolic architecture for manufacturing decision-making.
Human-Like Remembering and Forgetting,T3,— Cognitive-architecture-inspired memory,ACT-R Base-Level Activation over vector store,"Re-implements ACT-R's retrieval probability model — temporal decay, prior-access frequency, stochastic noise — as scoring on top of a vector store."
SYNAPSE,T4,— Cognitive-architecture-inspired memory,Spreading-activation graph + episodic-semantic split,Memory is a dynamic graph; retrieval fires spreading activation across edges rather than vector similarity.
HeLa-Mem,T4,— Cognitive-architecture-inspired memory,Hebbian distillation + hippocampal-cortical consolidation,Co-activation strengthens associative edges (Hebbian Distillation); separate consolidation pass periodically extracts semantic summaries from the episodic graph — directly modelling slow-wave hippocampal-to-cortical consolidation.
NL2GenSym,T4,— Cognitive-architecture-inspired memory,Soar production-rule generation + Execution-Grounded Critic,First end-to-end pipeline translating natural language into executable Soar rules.
AriGraph,T3,— Cognitive-architecture-inspired memory,CLS dual-layer episodic + semantic KG,Episodic observations as timestamped vertices; LLM extracts relational triplets into a semantic knowledge graph; episodic edges connect semantic nodes — structural equivalent of hippocampal index binding cortical representations.
Dual-Process Agent (DPA),T3,— Cognitive-architecture-inspired memory,Kahneman System 1 / System 2,"System 1: fast retrieval path that pulls compressed, relevant memories and conditions generation."
Episodic Memory Is the Missing Piece,T4,— Cognitive-architecture-inspired memory,CLS framework as design requirement,Pink et al.
RAPTOR,T3,Retrieval-as-memory hybrids,Recursive abstractive summary tree,"Recursively embeds, clusters, and summarises chunks into a tree of abstractions."
GraphRAG (Microsoft),T1,Retrieval-as-memory hybrids,Community summary + Leiden detection,Modular graph-based RAG.
LazyGraphRAG,T3,Retrieval-as-memory hybrids,Deferred-indexing GraphRAG variant,Performs minimal up-front indexing; defers LLM use until query time.
HippoRAG / HippoRAG2,T3,Retrieval-as-memory hybrids,Personalised PageRank over KG,Hippocampus-inspired RAG.
LightRAG,T3,Retrieval-as-memory hybrids,Dual-level graph retrieval,Entity-relationship graph + broader-theme retrieval.
PathRAG,T4,Retrieval-as-memory hybrids,Path-pruned graph retrieval,Retrieves key relational paths from knowledge graph; flow-based pruning + reliability scoring; path-based prompting.
HyDE,T3,Retrieval-as-memory hybrids,Hypothetical document embeddings,LLM generates a hypothetical answer document; embeds that instead of the query.
Adaptive-RAG,T3,Retrieval-as-memory hybrids,Query-complexity routing,"Smaller classifier LM predicts query complexity, then routes to no-retrieval / single-step / iterative retrieval as appropriate."
RouteRAG,T4,Retrieval-as-memory hybrids,RL-routed text + graph + hybrid,End-to-end RL-trained RAG.
RAFT,T3,Retrieval-as-memory hybrids,Retrieval-augmented fine-tuning,UC Berkeley.
GraphRAFT,T4,Retrieval-as-memory hybrids,RAG fine-tuning over KGs,Retrieval-augmented fine-tuning for knowledge graphs on graph databases.
Beyond RAG for Agent Memory,T4,Retrieval-as-memory hybrids,Decoupled-aggregate memory retrieval,"Argues standard RAG breaks on bounded agent conversation streams (highly correlated, redundant spans)."
Generative Semantic Workspace (GSW),T3,Retrieval-as-memory hybrids,Episodic memory for RAG,Replaces chunk-retrieval with neuro-inspired generative memory.
TC-RAG,T3,Retrieval-as-memory hybrids,Turing-complete state-variable RAG,"Frames RAG as Turing-complete with explicit monitored state variables, enabling adaptive retrieval halting and convergence control."
KAG,T3,Retrieval-as-memory hybrids,KG-grounded hybrid reasoning,Knowledge-Augmented Generation.
Speculative RAG,T4,Retrieval-as-memory hybrids,"Small-model draft, large-model verify",Smaller distilled specialist generates multiple RAG drafts in parallel from distinct document subsets.
CRAG,T4,Retrieval-as-memory hybrids,Retrieval self-correction with web fallback,"Lightweight retrieval evaluator scores docs and triggers different actions: use, supplement with web search, or discard."
Self-RAG,T4,Retrieval-as-memory hybrids,Reflection-token self-critique,"Trains an LLM end-to-end to emit reflection tokens that decide whether to retrieve, assess passage relevance, and critique output quality — all within a single model."
FLARE,T3,Retrieval-as-memory hybrids,Confidence-triggered forward retrieval,Forward-Looking Active Retrieval.
ITER-RETGEN,T3,Retrieval-as-memory hybrids,Output-conditioned iterative retrieval,Uses model's generated output as a rich context signal for the next retrieval round rather than just the original query.
StructRAG,T4,Retrieval-as-memory hybrids,Task-adaptive structurisation,"Identifies optimal structure (table, catalog, algorithm, graph) per task; converts source documents into that structure at inference time and reasons over the structured form."
HiRAG,T3,Retrieval-as-memory hybrids,Hierarchical KG indexing + retrieval,Multi-layer knowledge graph: higher layers hold coarse summary entities improving connectivity between similar lower-layer entities (HiIndex).
CAG (Cache-Augmented Generation),T3,Retrieval-as-memory hybrids,KV-cache preloading replaces retrieval,"""Don't Do RAG."" Preloads all relevant documents into context, caches the resulting KV state; at inference the model answers from cache with no retrieval step — eliminates retrieval latency + retrieval-error failure modes."
LongRAG,T4,Retrieval-as-memory hybrids,Long retrieval-unit grouping,Groups related Wikipedia documents into 4K-token units.
Multi-Head RAG (MHRAG),T4,Retrieval-as-memory hybrids,Attention-head multi-aspect embeddings,"Uses transformer multi-head attention activations (not decoder-layer embeddings) as retrieval keys, yielding multi-aspect embeddings that independently capture different semantic facets for heterogeneous queries."
BGE-M3,T4,Retrieval-as-memory hybrids,Unified dense-sparse-multi-vector embedding,"Single embedding model supporting dense, sparse, and multi-vector (ColBERT-style) retrieval simultaneously."
ChunkRAG,T4,Retrieval-as-memory hybrids,LLM-scored chunk-level filtering,"Semantic chunking divides documents into coherent sections; LLM-based relevance scorer filters each chunk against the query before generation, pruning irrelevant chunks and reducing hallucination."
AutoRAG,T4,Retrieval-as-memory hybrids,AutoML-style greedy RAG pipeline,"Applies AutoML to RAG: greedy algorithm evaluates and selects best-performing module at each pipeline stage (query expansion, retrieval, reranking, generation)."
WeKnow-RAG,T4,Retrieval-as-memory hybrids,Sparse-dense web + KG self-assessment,Domain KGs + multi-stage web-page retrieval (sparse + dense) + LLM self-assessment of trustworthiness before finalising answer.
REALM,T3,Retrieval-as-memory hybrids,Retrieval-augmented LM pre-training,Foundational paper.
RETRO,T3,Retrieval-as-memory hybrids,Trillion-token retrieval transformer,DeepMind.
Atlas,T3,Retrieval-as-memory hybrids,Few-shot retrieval-augmented LM,Meta AI.
CLAUDE.md,T1,File-backed / editor paradigms,Git-backed persistent instructions,Markdown file injected at session start; reloaded post-compaction.
Cursor Rules,T1,File-backed / editor paradigms,IDE-embedded code memory,.cursorrules + project rules.
Windsurf Rules & Memories,T1,File-backed / editor paradigms,Codebase semantic + auto-memory,Rules files plus Cascade auto-generated memories.
AGENTS.md,T1,File-backed / editor paradigms,Cross-tool open standard,AGENTS.md at repo root (and ~/.codex/AGENTS.md for global); hierarchical concatenation from root to cwd.
GitHub Copilot custom instructions,T1,File-backed / editor paradigms,.github/copilot-instructions.md + path-scoped,.github/copilot-instructions.md repo-wide; .github/instructions/<name>.instructions.md for path-scoped rules with YAML frontmatter (applyTo glob).
Aider CONVENTIONS.md / .aider.conf.yml,T2,File-backed / editor paradigms,Multi-file convention pattern,"CONVENTIONS.md (any name, loaded via --read or read: in config); .aider.conf.yml (home / git-root / cwd, last wins); .aiderignore (gitignore-syntax)."
Cline .clinerules,T2,File-backed / editor paradigms,"Version-controlled, AI-editable rules",.clinerules single file or .clinerules/ directory of numbered .md files (e.g.
Cline Memory Bank,T2,File-backed / editor paradigms,Session-spanning state pattern,"memory-bank/ directory of Markdown: projectBrief.md, productContext.md, activeContext.md, systemPatterns.md, techContext.md, progress.md."
Roo Code .roorules,T2,File-backed / editor paradigms,Per-mode rules + workspace overrides,.roo/rules/ (recursive .md/.txt alphabetic load); .roorules single-file fallback.
Continue.dev .continue/rules,T2,File-backed / editor paradigms,Path-glob-scoped rules,.continue/rules/*.md at workspace root.
Zed .rules,T2,File-backed / editor paradigms,Reads competitors as fallback,.rules at project root.
Replit replit.md,T2,File-backed / editor paradigms,Project-level Replit Agent context,replit.md at project root.
Sourcegraph Cody — cody.json,T2,File-backed / editor paradigms,Custom command templates,.vscode/cody.json (workspace-scoped).
Claude Code auto-memory,T1,Claude Code memory mechanisms,Per-project file directory,Persistent file-based memory at ~/.claude/projects/<project>/memory/ with a MEMORY.md index plus typed memory files (user / feedback / project / reference).
Superpowers episodic-memory plugin,T2,Claude Code memory mechanisms,MCP semantic search over conversations,Claude Code plugin that indexes prior conversations at session end and exposes search/show tools via MCP.
claude-mem,T1,Claude Code memory mechanisms,Episodic / session-log compression,Hooks into Claude Code's session lifecycle; compresses tool outputs into ~500-token observations via Claude's agent SDK.
Mem0 MCP (official),T1,Claude Code memory mechanisms,Hybrid vector + graph via cloud API,Mem0's managed cloud API exposed as MCP tools.
Graphiti MCP Server (Zep),T1,Claude Code memory mechanisms,Temporal KG with bi-temporal edges,Tracks how facts change over time; maintains provenance; supports prescribed and learned ontology.
mcp-memory-service (doobidoo),T2,Claude Code memory mechanisms,KG + vector hybrid + autonomous consolidation,"SQLite-Vec default, Cloudflare hybrid for production."
OpenMemory MCP,T2,Claude Code memory mechanisms,Local Postgres + Qdrant cross-tool memory,Local-first self-hosted Mem0 variant.
Cognee MCP,T2,Claude Code memory mechanisms,Multi-layer KG with rule extraction,"""Cognify"" extracts entities and relationships into a structured graph."
Hindsight MCP,T2,Claude Code memory mechanisms,Four-network episodic memory,"World (facts), Experiences (agent actions), Opinion (beliefs with confidence scores), Observation (mental models)."
Memobase MCP,T2,Claude Code memory mechanisms,Profile + timeline injected into prompt,Structured JSON user profile + chronological event timeline.
claude-supermemory,T2,Claude Code memory mechanisms,Team-scope memory plugin,Wraps Supermemory cloud API.
mcp-memory (Puliczek),T2,Claude Code memory mechanisms,Cloudflare-native vector memory,Embeddings via @cf/baai/bge-m3; Vectorize + D1; per-user namespace isolation.
local-memory-mcp,T2,Claude Code memory mechanisms,SQLite + FTS5 with decision-tracking,SQLite + FTS5 + BM25 ranking.
claude-brain,T2,Claude Code memory mechanisms,Memvid → Claude Code plugin,Claude Code plugin packaging of Memvid (see Dedicated memory layers).
engram,T2,Claude Code memory mechanisms,"Static Go binary, agent-agnostic",SQLite + FTS5; agent decides what to save (not firehose capture).
mcp-knowledge-graph,T2,Claude Code memory mechanisms,Stable local fork of official MCP memory,KG-based local fork of @modelcontextprotocol/server-memory.
Claude-CursorMemoryMCP,T2,Claude Code memory mechanisms,PostgreSQL + pgvector with RBAC,FastAPI server.
Official MCP Memory server,T1,Claude Code memory mechanisms,KG-based persistent memory MCP,Knowledge-graph-based persistent memory MCP server — the canonical reference implementation.
Stardog,T1,Knowledge-graph platforms,RDF semantic platform + Voicebox AI,"RDF-native semantic platform with SHACL validation, virtual graphs, and the Voicebox AI assistant."
TopQuadrant (TopBraid EDG),T1,Knowledge-graph platforms,Ontology-native governance,Ontology-native semantic governance suite.
Neo4j,T1,Knowledge-graph platforms,Property graph + vectors + Aura Agent,Property graph DB with Cypher; native vector search; Aura Agent + MCP server for graph-as-memory.
TigerGraph,T1,Knowledge-graph platforms,Massively parallel graph + GSQL,Parallel graph DB with GSQL/GQL.
AllegroGraph (Franz),T1,Knowledge-graph platforms,RDF triple/quad store + reasoning,RDF triple/quad store with RDFS++ / OWL reasoning.
Ontotext GraphDB / Graphwise,T1,Knowledge-graph platforms,RDF store + real-time inference,RDF store with real-time inference.
PoolParty (now Graphwise),T1,Knowledge-graph platforms,SKOS-based taxonomy + LLM advisor,Taxonomy and knowledge organisation.
Palantir Ontology,T1,Knowledge-graph platforms,Operational digital twin,Proprietary operational ontology — semantic objects + kinetic actions wired to microservices.
Diffbot,T1,Knowledge-graph platforms,Auto-extracted KG from web crawl,Auto-built knowledge graph from web crawl.
FalkorDB,T2,Knowledge-graph platforms,"GraphRAG-native, sub-140ms multi-hop",Native GraphRAG SDK.
Memgraph,T2,Knowledge-graph platforms,In-memory GraphRAG + native vector search,In-memory GraphRAG engine.
Amazon Neptune Analytics,T1,Knowledge-graph platforms,Vector + graph in one managed service,Vector index on graph nodes queryable via openCypher.
Apache AGE,T2,Knowledge-graph platforms,PostgreSQL graph extension,openCypher over Postgres.
Kuzu,T2,Knowledge-graph platforms,Embedded graph DB + sub-3ms recall,Embedded graph DB with built-in vector index + full-text search.
ArangoDB,T1,Knowledge-graph platforms,Multi-model: graph + doc + KV + vector,"HybridGraphRAG combines vector search, graph traversal, full-text in one AQL query."
Dgraph,T2,Knowledge-graph platforms,Graph + vector + Hypermode cloud,Vector indexing on any node.
NebulaGraph,T2,Knowledge-graph platforms,Graph + vector + text hybrid retrieval,v5.2 adds graph-vector-text hybrid retrieval natively.
Pinecone,T1,Vector-database infrastructure,Managed vector DB + cascading retrieval,Managed vector DB.
Weaviate,T1,Vector-database infrastructure,Hybrid vector DB + learned ranking,Hybrid Search 2.0 with learned ranking.
Qdrant,T1,Vector-database infrastructure,Vector DB + DBSF + RRF,Distribution-Based Score Fusion + RRF.
Chroma,T1,Vector-database infrastructure,Embedded vector DB (Rust core),Limited native hybrid (users build RRF custom).
Milvus,T1,Vector-database infrastructure,Multi-vector + hybrid + GPU,Multi-vector columns (10 simultaneous).
LanceDB,T1,Vector-database infrastructure,Embedded Arrow-columnar vector DB,Embedded vector DB (Arrow columnar).
Turbopuffer,T1,Vector-database infrastructure,Object-storage-first vector DB,Object-storage-first vector DB.
Elasticsearch / OpenSearch,T1,Vector-database infrastructure,Mature hybrid search,Mature hybrid (BM25 + vector) implementations.
Vespa,T1,Vector-database infrastructure,Unified vector + lexical + structured + ranking,"Combines vector ANN, lexical, structured filtering, and ML-learned ranking in one distributed system."
Activeloop Deep Lake,T2,Vector-database infrastructure,Multimodal vector + serverless Postgres,Deep Memory feature optimises embedding space per use-case (+22% retrieval accuracy).
MongoDB Atlas Vector Search,T1,Vector-database infrastructure,Vector embedded in document DB,Agent memory store for both short-term (document) and long-term (vector).
pgvector,T1,Vector-database infrastructure,PostgreSQL vector extension,Stores embeddings alongside relational + full-text data.
Marqo,T2,Vector-database infrastructure,Multimodal vector via single API,End-to-end multimodal (text + image) vector search via single API.
Snowflake Cortex Search,T1,Vector-database infrastructure,Hybrid vector + keyword + semantic rerank,Hybrid vector + keyword + semantic reranking.
Databricks Vector Search,T1,Vector-database infrastructure,Storage-optimised + Unity Catalog governance,Storage-optimised index scaling to billions of vectors.
Glean,T1,Enterprise-search adjacencies,Enterprise search + per-user KG,Enterprise search with 100+ connectors.
SearchUnify,T1,Enterprise-search adjacencies,Agentic enterprise search + KCS,Agentic enterprise search with Knowbler — quality checks via the KCS (Knowledge-Centered Service) standard.
Clarivate,T1,Enterprise-search adjacencies,Curated bibliographic metadata,"Bibliographic metadata curation (Web of Science, Derwent, Cortellis)."
Coveo,T1,Enterprise-search adjacencies,RAG-as-a-Service via hosted MCP,RAG-as-a-Service for AWS (Dec 2025) via hosted MCP server grounding Amazon Bedrock agents in enterprise knowledge.
Sinequa,T1,Enterprise-search adjacencies,Hybrid retrieval + agentic RAG,Hybrid retrieval combining dense vector + keyword + graph traversal + multimodal.
Mindbreeze InSpire,T2,Enterprise-search adjacencies,Hybrid + entitlement-aware + KG,Hybrid keyword + vector retrieval with entitlement-aware filtering.
Meilisearch,T2,Enterprise-search adjacencies,Open-source semantic + hybrid search,Semantic + hybrid search GA (2025).
Algolia (NeuralSearch),T1,Enterprise-search adjacencies,Neural-hash hybrid (vector + keyword),NeuralSearch combines vector + keyword via neural hashing — compresses to 1/10th size while retaining 99% info.
FutureHouse,T1,— Scientific / research AI memory,Cross-experiment + organism-scale factbase,Full autonomous-scientist loop.
Causaly,T1,— Scientific / research AI memory,Persistent causal knowledge graph,Drug discovery / target identification / causal mechanism tracing.
BenevolentAI,T1,— Scientific / research AI memory,Continuously-refreshed biological KG,Target identification / drug repurposing / mechanism tracing.
LabGenius,T1,— Scientific / research AI memory,Autonomous experiment memory (EVA platform),Therapeutic-antibody discovery in a closed Design-Build-Test-Learn loop.
Elicit,T2,— Scientific / research AI memory,Session-persistent claim-to-sentence provenance,Systematic literature review + data extraction + meta-analysis.
Scite.ai,T2,— Scientific / research AI memory,Intent-classified citation context index,Stores surrounding textual context of every citation plus a deep-learning classification (supports / disputes / mentions).
Iris.ai,T2,— Scientific / research AI memory,Researcher Workspace + persistent extraction,Enterprise R&D document processing.
ResearchRabbit,T2,— Scientific / research AI memory,"Iterative paper-graph ""rabbit-hole"" checkpoints",Literature discovery + citation mapping.
Hippocratic AI Polaris,T1,— Healthcare AI memory,Longitudinal multi-call patient memory store,Patient-conversation / chronic-care staffing model.
K Health,T1,— Healthcare AI memory,EMR-filtered two-agent pipeline,Primary care / virtual physician intake.
