system_name,modalities,volume_claim,conflict_resolution,pedigree,source_url_modalities,source_url_volume,source_url_conflict,source_url_pedigree
ShadowKV (ByteDance),text,no scale claim — research,not applicable (KV cache compression; no user write path),ByteDance Seed; arxiv 2410.21465,https://arxiv.org/abs/2410.21465,https://arxiv.org/abs/2410.21465,https://arxiv.org/abs/2410.21465,https://arxiv.org/abs/2410.21465
IBM Meta-Tokens,text,no scale claim — research,not applicable (context compression; no user write path),IBM Research; arxiv 2506.00307,https://arxiv.org/abs/2506.00307,https://arxiv.org/abs/2506.00307,https://arxiv.org/abs/2506.00307,https://arxiv.org/abs/2506.00307
MemoryLLM (original),text,no scale claim — research (1B-parameter memory pool),not applicable (architectural in-weights pool),no data — searched arxiv.org/abs/2402.04624; author affiliations not found in preview,https://arxiv.org/abs/2402.04624,https://arxiv.org/abs/2402.04624,https://arxiv.org/abs/2402.04624,https://arxiv.org/abs/2402.04624
SELF-PARAM,text,no scale claim — research,not applicable (KL-distillation into parameters),no data — searched arxiv.org/abs/2410.00487; author affiliations not found in preview,https://arxiv.org/abs/2410.00487,https://arxiv.org/abs/2410.00487,https://arxiv.org/abs/2410.00487,https://arxiv.org/abs/2410.00487
MemLoRA,text,no scale claim — research,not applicable (distilled adapters; parametric),no data — searched arxiv.org/abs/2512.04763; author affiliations not found in preview,https://arxiv.org/abs/2512.04763,https://arxiv.org/abs/2512.04763,https://arxiv.org/abs/2512.04763,https://arxiv.org/abs/2512.04763
Larimar,text,no scale claim — research,overwrite (one-shot knowledge update; selective forgetting),IBM Research; arxiv 2403.11901,https://arxiv.org/abs/2403.11901,https://arxiv.org/abs/2403.11901,https://arxiv.org/abs/2403.11901,https://arxiv.org/abs/2403.11901
Memory Decoder,text,no scale claim — research,not applicable (pretrained plug-and-play; parametric),no data — searched arxiv.org/abs/2508.09874; author affiliations not found in preview,https://arxiv.org/abs/2508.09874,https://arxiv.org/abs/2508.09874,https://arxiv.org/abs/2508.09874,https://arxiv.org/abs/2508.09874
MLP Memory,text,no scale claim — research,not applicable (retriever-pretrained external; parametric),no data — searched arxiv.org/abs/2508.01832; author affiliations not found in preview,https://arxiv.org/abs/2508.01832,https://arxiv.org/abs/2508.01832,https://arxiv.org/abs/2508.01832,https://arxiv.org/abs/2508.01832
ELDER,text,no scale claim — research (AAAI 2025),LLM-arbitrate (LoRA-mixing),no data — no URL in landscape HTML; searched AAAI 2025 ELDER mixture LoRA editing,no data,no data,no data,no data
WISE,text,no scale claim — research (NeurIPS 2024),LLM-arbitrate (knowledge memory),no data — no URL in landscape HTML; searched NeurIPS 2024 WISE lifelong model editing,no data,no data,no data,no data
SDM Activations,text,no scale claim — research,not applicable (activation-level architectural),no data — searched arxiv.org/abs/2509.12760; author affiliations not found in preview,https://arxiv.org/abs/2509.12760,https://arxiv.org/abs/2509.12760,https://arxiv.org/abs/2509.12760,https://arxiv.org/abs/2509.12760
M+ (MemoryLLM),text,no scale claim — research,not applicable (architectural latent memory pool),no data — searched arxiv.org/abs/2502.00592; author affiliations not found in preview,https://arxiv.org/abs/2502.00592,https://arxiv.org/abs/2502.00592,https://arxiv.org/abs/2502.00592,https://arxiv.org/abs/2502.00592
Memory³,text,no scale claim — research,not applicable (architectural explicit memory),no data — searched arxiv.org/abs/2407.01178; author affiliations not found in preview,https://arxiv.org/abs/2407.01178,https://arxiv.org/abs/2407.01178,https://arxiv.org/abs/2407.01178,https://arxiv.org/abs/2407.01178
MemGen,text,no scale claim — research,LLM-arbitrate (generative latent),no data — searched arxiv.org/abs/2509.24704; author affiliations not found in preview,https://arxiv.org/abs/2509.24704,https://arxiv.org/abs/2509.24704,https://arxiv.org/abs/2509.24704,https://arxiv.org/abs/2509.24704
MEM1,text,no scale claim — research,LLM-arbitrate (synergised),NUS / Singapore; arxiv 2506.15841,https://arxiv.org/abs/2506.15841,https://arxiv.org/abs/2506.15841,https://arxiv.org/abs/2506.15841,https://arxiv.org/abs/2506.15841
RazorAttention,text,no scale claim — research,not applicable (KV-cache compression; no user write),no data — searched openreview.net/forum?id=tkiZQlL04w; author affiliations not found in preview,https://openreview.net/forum?id=tkiZQlL04w,https://openreview.net/forum?id=tkiZQlL04w,https://openreview.net/forum?id=tkiZQlL04w,https://openreview.net/forum?id=tkiZQlL04w
SnapKV,text,no scale claim — research (NeurIPS 2024),not applicable (KV-cache pre-selection; no user write),no data — no URL in landscape HTML; searched NeurIPS 2024 SnapKV KV cache,no data,no data,no data,no data
SoftCoT,text,no scale claim — research (ACL 2025),not applicable (soft chain-of-thought; no external memory),no data — searched aclanthology.org/2025.acl-long.1137; author affiliations not found in preview,https://aclanthology.org/2025.acl-long.1137/,https://aclanthology.org/2025.acl-long.1137/,https://aclanthology.org/2025.acl-long.1137/,https://aclanthology.org/2025.acl-long.1137/
H2O,text,no scale claim — research (NeurIPS 2023),not applicable (KV eviction; no user write),no data — no URL in landscape HTML; searched NeurIPS 2023 H2O heavy-hitter oracle,no data,no data,no data,no data
Memformer,text,no scale claim — research,not applicable (architectural external KV; trained),no data — no URL in landscape HTML; searched Memformer external KV memory replay,no data,no data,no data,no data
MATTER,text,no scale claim — research,not applicable (fixed-length neural memories; trained),no data — searched arxiv.org/abs/2406.04670; author affiliations not found in preview,https://arxiv.org/abs/2406.04670,https://arxiv.org/abs/2406.04670,https://arxiv.org/abs/2406.04670,https://arxiv.org/abs/2406.04670
MemReasoner,text,no scale claim — research (NeurIPS 2024),not applicable (architectural latent GRU memory; trained),IBM Research; openreview.net/forum?id=ODcMy97cVZ,https://openreview.net/forum?id=ODcMy97cVZ,https://openreview.net/forum?id=ODcMy97cVZ,https://openreview.net/forum?id=ODcMy97cVZ,https://openreview.net/forum?id=ODcMy97cVZ
CDMem,text,no scale claim — research (NAACL 2025),LLM-arbitrate (3-stage encoding),no data — searched aclanthology.org/2025.naacl-industry.80; author affiliations not found in preview,https://aclanthology.org/2025.naacl-industry.80/,https://aclanthology.org/2025.naacl-industry.80/,https://aclanthology.org/2025.naacl-industry.80/,https://aclanthology.org/2025.naacl-industry.80/
Transformer²,text,no scale claim — research,LLM-arbitrate (SVD + expert blending),no data — searched arxiv.org/abs/2501.06252; author affiliations not found in preview,https://arxiv.org/abs/2501.06252,https://arxiv.org/abs/2501.06252,https://arxiv.org/abs/2501.06252,https://arxiv.org/abs/2501.06252
NAMMs,text,no scale claim — research,not applicable (evolution-trained KV; architectural),Sakana AI; arxiv 2410.13166,https://arxiv.org/abs/2410.13166,https://arxiv.org/abs/2410.13166,https://arxiv.org/abs/2410.13166,https://arxiv.org/abs/2410.13166
Memory Layers at Scale,text,no scale claim — research,not applicable (trainable KV layers; architectural),Meta FAIR; arxiv 2412.09764,https://arxiv.org/abs/2412.09764,https://arxiv.org/abs/2412.09764,https://arxiv.org/abs/2412.09764,https://arxiv.org/abs/2412.09764
MemBART,text,no scale claim — research,not applicable (architectural memory states across turns),no data — no URL in landscape HTML; searched MemBART dialogue memory states; no source found,no data,no data,no data,no data
AiT (Associative Transformer),text,no scale claim — research,not applicable (Hopfield low-rank architectural memory),no data — searched arxiv.org/abs/2309.12862; author affiliations not found in preview,https://arxiv.org/abs/2309.12862,https://arxiv.org/abs/2309.12862,https://arxiv.org/abs/2309.12862,https://arxiv.org/abs/2309.12862
Memformers (gradient memory),text,no scale claim — research,not applicable (past-gradient registers; architectural),no data — no URL in landscape HTML; searched gradient memory Memformers; no source found,no data,no data,no data,no data
WorkMATe,text,no scale claim — research (PLOS ONE),not applicable (RL-gated architectural slots),Kruijne et al. — Vrije Universiteit Amsterdam; PLOS ONE 2025,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316453
V-JEPA 2,video + image,no scale claim — research,not applicable (self-supervised world model; no write path),Meta FAIR; arxiv 2506.09985,https://arxiv.org/abs/2506.09985,https://arxiv.org/abs/2506.09985,https://arxiv.org/abs/2506.09985,https://arxiv.org/abs/2506.09985
Dreamer 4,image + sensor,no scale claim — research,not applicable (world-model RL; no external write path),Danijar Hafner (Google DeepMind) + Jiuqi Yan; arxiv 2509.24527,https://arxiv.org/abs/2509.24527,https://arxiv.org/abs/2509.24527,https://arxiv.org/abs/2509.24527,https://arxiv.org/abs/2509.24527
R2I,image + sensor,no scale claim — research,not applicable (model-based RL; no external write path),no data — searched arxiv.org/abs/2403.04253; author affiliations not found in preview,https://arxiv.org/abs/2403.04253,https://arxiv.org/abs/2403.04253,https://arxiv.org/abs/2403.04253,https://arxiv.org/abs/2403.04253
V-JEPA (original),video + image,no scale claim — research,not applicable (self-supervised world model; no write path),Meta AI; arxiv 2404.08471,https://arxiv.org/abs/2404.08471,https://arxiv.org/abs/2404.08471,https://arxiv.org/abs/2404.08471,https://arxiv.org/abs/2404.08471
PWM (Policy Learning with Large World Models),image + sensor,no scale claim — research,not applicable (world-model RL; no external write path),no data — searched arxiv.org/abs/2407.02466; author affiliations not found in preview,https://arxiv.org/abs/2407.02466,https://arxiv.org/abs/2407.02466,https://arxiv.org/abs/2407.02466,https://arxiv.org/abs/2407.02466
RIKEN Tensor Decomposition Incremental Learning,image,no scale claim — research (ICML 2025),not applicable (continual learning compression; no external write path),RIKEN Center for Advanced Intelligence Project (AIP); ICML 2025,https://icml.cc/virtual/2025/poster/44196,https://icml.cc/virtual/2025/poster/44196,https://icml.cc/virtual/2025/poster/44196,https://icml.cc/virtual/2025/poster/44196
CL of LLMs Survey,text,no scale claim — survey paper (ACM Computing Surveys),not applicable (survey; no system implementation),no data — searched dl.acm.org/doi/10.1145/3735633; author affiliations not found in preview,https://dl.acm.org/doi/10.1145/3735633,https://dl.acm.org/doi/10.1145/3735633,https://dl.acm.org/doi/10.1145/3735633,https://dl.acm.org/doi/10.1145/3735633
FOREVER,text,no scale claim — research,LLM-arbitrate (replay + regularisation),no data — searched arxiv.org/abs/2601.03938; author affiliations not found in preview,https://arxiv.org/abs/2601.03938,https://arxiv.org/abs/2601.03938,https://arxiv.org/abs/2601.03938,https://arxiv.org/abs/2601.03938
SERS,text,no scale claim — research,LLM-arbitrate (Wasserstein-distance regulariser),no data — searched openreview.net/forum?id=jR1lvwexLt; author affiliations not found in preview,https://openreview.net/forum?id=jR1lvwexLt,https://openreview.net/forum?id=jR1lvwexLt,https://openreview.net/forum?id=jR1lvwexLt,https://openreview.net/forum?id=jR1lvwexLt
EMU (Efficient Episodic Memory Utilization),text,no scale claim — research,LLM-arbitrate (selective promotion),no data — searched arxiv.org/abs/2403.01112; author affiliations not found in preview,https://arxiv.org/abs/2403.01112,https://arxiv.org/abs/2403.01112,https://arxiv.org/abs/2403.01112,https://arxiv.org/abs/2403.01112
HAMI,text,no scale claim — research (Nature Scientific Reports 2025),LLM-arbitrate (hierarchical refinement),Nature Scientific Reports 2025; no affiliation found at nature.com/articles/s41598-025-10586-x in preview,https://www.nature.com/articles/s41598-025-10586-x,https://www.nature.com/articles/s41598-025-10586-x,https://www.nature.com/articles/s41598-025-10586-x,https://www.nature.com/articles/s41598-025-10586-x
LLM-ACTR / Cognitive LLMs,text,no scale claim — research,not applicable (ACT-R buffers injected; no external write),no data — searched arxiv.org/abs/2408.09176; author affiliations not found in preview,https://arxiv.org/abs/2408.09176,https://arxiv.org/abs/2408.09176,https://arxiv.org/abs/2408.09176,https://arxiv.org/abs/2408.09176
Human-Like Remembering and Forgetting,text,no scale claim — research (ACM CHI 2025),LLM-arbitrate (ACT-R base-level activation scoring),ACM CHI 2025; no affiliation found at dl.acm.org/doi/10.1145/3765766.3765803 in preview,https://dl.acm.org/doi/10.1145/3765766.3765803,https://dl.acm.org/doi/10.1145/3765766.3765803,https://dl.acm.org/doi/10.1145/3765766.3765803,https://dl.acm.org/doi/10.1145/3765766.3765803
SYNAPSE,text,no scale claim — research,LLM-arbitrate (spreading-activation graph),no data — searched arxiv.org/abs/2601.02744; author affiliations not found in preview,https://arxiv.org/abs/2601.02744,https://arxiv.org/abs/2601.02744,https://arxiv.org/abs/2601.02744,https://arxiv.org/abs/2601.02744
HeLa-Mem,text,no scale claim — research,LLM-arbitrate (Hebbian distillation + consolidation),no data — searched arxiv.org/abs/2604.16839; author affiliations not found in preview,https://arxiv.org/abs/2604.16839,https://arxiv.org/abs/2604.16839,https://arxiv.org/abs/2604.16839,https://arxiv.org/abs/2604.16839
NL2GenSym,text,no scale claim — research,LLM-arbitrate (production-rule generation),no data — searched arxiv.org/abs/2510.09355; author affiliations not found in preview,https://arxiv.org/abs/2510.09355,https://arxiv.org/abs/2510.09355,https://arxiv.org/abs/2510.09355,https://arxiv.org/abs/2510.09355
AriGraph,text,no scale claim — research,LLM-arbitrate (dual-layer KG),no data — searched arxiv.org/abs/2407.04363; author affiliations not found in preview,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363
Dual-Process Agent (DPA),text,no scale claim — research (MDPI Electronics 2025),LLM-arbitrate (System 2 consensus write),MDPI Electronics 2025; no affiliation found at mdpi.com/2079-9292/15/6/1232 in preview,https://www.mdpi.com/2079-9292/15/6/1232,https://www.mdpi.com/2079-9292/15/6/1232,https://www.mdpi.com/2079-9292/15/6/1232,https://www.mdpi.com/2079-9292/15/6/1232
Episodic Memory Is the Missing Piece,text,no scale claim — position paper,not applicable (position paper; no system implementation),Pink et al. — no affiliation found; searched arxiv.org/abs/2502.06975,https://arxiv.org/abs/2502.06975,https://arxiv.org/abs/2502.06975,https://arxiv.org/abs/2502.06975,https://arxiv.org/abs/2502.06975
LazyGraphRAG,text,no scale claim — research / Microsoft GraphRAG variant,not applicable (read-only retrieval; no write path),Microsoft Research (GraphRAG team),https://github.com/microsoft/graphrag/discussions/1490,https://github.com/microsoft/graphrag/discussions/1490,https://github.com/microsoft/graphrag/discussions/1490,https://github.com/microsoft/graphrag/discussions/1490
PathRAG,text,no scale claim — research,not applicable (read-only path retrieval),BUPT GAMMA Lab; no individual authors found at github.com/BUPT-GAMMA/PathRAG,https://github.com/BUPT-GAMMA/PathRAG,https://github.com/BUPT-GAMMA/PathRAG,https://github.com/BUPT-GAMMA/PathRAG,https://github.com/BUPT-GAMMA/PathRAG
RouteRAG,text,no scale claim — research,not applicable (RL-routed retrieval; no persistent write),no data — searched arxiv.org/abs/2512.09487; author affiliations not found in preview,https://arxiv.org/abs/2512.09487,https://arxiv.org/abs/2512.09487,https://arxiv.org/abs/2512.09487,https://arxiv.org/abs/2512.09487
GraphRAFT,text,no scale claim — research,not applicable (RAG fine-tuning over KG; no runtime write),no data — searched arxiv.org/abs/2504.05478; author affiliations not found in preview,https://arxiv.org/abs/2504.05478,https://arxiv.org/abs/2504.05478,https://arxiv.org/abs/2504.05478,https://arxiv.org/abs/2504.05478
Beyond RAG for Agent Memory,text,no scale claim — research,LLM-arbitrate (semantic unit decomposition),no data — searched arxiv.org/abs/2602.02007; author affiliations not found in preview,https://arxiv.org/abs/2602.02007,https://arxiv.org/abs/2602.02007,https://arxiv.org/abs/2602.02007,https://arxiv.org/abs/2602.02007
Generative Semantic Workspace (GSW),text,no scale claim — research,LLM-arbitrate (Reconciler integration),no data — searched arxiv.org/abs/2511.07587; author affiliations not found in preview,https://arxiv.org/abs/2511.07587,https://arxiv.org/abs/2511.07587,https://arxiv.org/abs/2511.07587,https://arxiv.org/abs/2511.07587
TC-RAG,text,no scale claim — research,not applicable (Turing-complete state variables; read-only),no data — searched arxiv.org/abs/2408.09199; author affiliations not found in preview,https://arxiv.org/abs/2408.09199,https://arxiv.org/abs/2408.09199,https://arxiv.org/abs/2408.09199,https://arxiv.org/abs/2408.09199
Speculative RAG,text,no scale claim — research,not applicable (read-only retrieval + verification),Google DeepMind; arxiv 2407.08223,https://arxiv.org/abs/2407.08223,https://arxiv.org/abs/2407.08223,https://arxiv.org/abs/2407.08223,https://arxiv.org/abs/2407.08223
StructRAG,text,no scale claim — research,not applicable (read-only structured retrieval),no data — searched arxiv.org/abs/2410.08815; author affiliations not found in preview,https://arxiv.org/abs/2410.08815,https://arxiv.org/abs/2410.08815,https://arxiv.org/abs/2410.08815,https://arxiv.org/abs/2410.08815
HiRAG,text,no scale claim — research,not applicable (read-only hierarchical KG retrieval),no data — searched arxiv.org/abs/2503.10150; author affiliations not found in preview,https://arxiv.org/abs/2503.10150,https://arxiv.org/abs/2503.10150,https://arxiv.org/abs/2503.10150,https://arxiv.org/abs/2503.10150
LongRAG,text,corpus: NQ 22M→600K units; HotpotQA 5M→500K units (research claim),not applicable (read-only retrieval),no data — searched arxiv.org/abs/2406.15319; author affiliations not found in preview,https://arxiv.org/abs/2406.15319,https://arxiv.org/abs/2406.15319,https://arxiv.org/abs/2406.15319,https://arxiv.org/abs/2406.15319
Multi-Head RAG (MHRAG),text,no scale claim — research,not applicable (read-only multi-aspect retrieval),no data — searched arxiv.org/abs/2406.05085; author affiliations not found in preview,https://arxiv.org/abs/2406.05085,https://arxiv.org/abs/2406.05085,https://arxiv.org/abs/2406.05085,https://arxiv.org/abs/2406.05085
ChunkRAG,text,no scale claim — research,not applicable (read-only chunk-level filtering),no data — searched arxiv.org/abs/2410.19572; author affiliations not found in preview,https://arxiv.org/abs/2410.19572,https://arxiv.org/abs/2410.19572,https://arxiv.org/abs/2410.19572,https://arxiv.org/abs/2410.19572
AutoRAG,text,no scale claim — research,not applicable (AutoML pipeline selection; no persistent write),no data — searched arxiv.org/abs/2410.20878; author affiliations not found in preview,https://arxiv.org/abs/2410.20878,https://arxiv.org/abs/2410.20878,https://arxiv.org/abs/2410.20878,https://arxiv.org/abs/2410.20878
WeKnow-RAG,text,no scale claim — research,not applicable (read-only web + KG retrieval),no data — searched arxiv.org/abs/2408.07611; author affiliations not found in preview,https://arxiv.org/abs/2408.07611,https://arxiv.org/abs/2408.07611,https://arxiv.org/abs/2408.07611,https://arxiv.org/abs/2408.07611
Atlas,text,26.8M Wikipedia documents (research corpus),not applicable (retriever + LM fine-tuning; no persistent write at inference),Meta AI; arxiv 2208.03299,https://arxiv.org/abs/2208.03299,https://arxiv.org/abs/2208.03299,https://arxiv.org/abs/2208.03299,https://arxiv.org/abs/2208.03299
CLAUDE.md,text,no scale claim — single markdown file per project,manual (git-versioned; human edits),Anthropic (CLAUDE.md pattern),https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory
Cursor Rules,text,no scale claim — files at IDE scale (Turbopuffer-backed),manual (file-based; human edits),Anysphere Inc. (Cursor) — ex-OpenAI / MIT founders; a16z-backed,https://docs.cursor.com/context/rules,https://docs.cursor.com/context/rules,https://docs.cursor.com/context/rules,https://docs.cursor.com/context/rules
Windsurf Rules & Memories,text,~100K-token effective context (vendor claim),LLM-arbitrate (Cascade auto-generated memories),"Codeium (Varun Mohan & Douglas Chen, co-founders; ex-NVIDIA; General Catalyst-backed)",https://docs.windsurf.com/windsurf/cascade/memories,https://docs.windsurf.com/windsurf/cascade/memories,https://docs.windsurf.com/windsurf/cascade/memories,https://docs.windsurf.com/windsurf/cascade/memories
AGENTS.md,text,no scale claim — hierarchical markdown files,manual (git-versioned; human edits),Open standard (community-driven); no single founding org,https://agents.md/,https://agents.md/,https://agents.md/,https://agents.md/
GitHub Copilot custom instructions,text,no scale claim — markdown files in repo,manual (git-versioned; human edits),GitHub / Microsoft,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot
Aider CONVENTIONS.md / .aider.conf.yml,text,no scale claim — markdown / YAML config files,manual (file-based; human edits),Paul Gauthier (founder; ex-Google SWE); open-source / indie,https://aider.chat/docs/usage/conventions.html,https://aider.chat/docs/usage/conventions.html,https://aider.chat/docs/usage/conventions.html,https://aider.chat/docs/usage/conventions.html
Cline .clinerules,text,no scale claim — markdown files in repo,manual (git-versioned; AI-editable),"Cline (Saoud Rizwan, founder; open-source; ex-indie developer; VS Code extension)",https://cline.bot/blog/clinerules-version-controlled-shareable-and-ai-editable-instructions,https://cline.bot/blog/clinerules-version-controlled-shareable-and-ai-editable-instructions,https://cline.bot/blog/clinerules-version-controlled-shareable-and-ai-editable-instructions,https://cline.bot/blog/clinerules-version-controlled-shareable-and-ai-editable-instructions
Cline Memory Bank,text,no scale claim — markdown directory (~6 standard files),manual (human-curated markdown),"Cline (Saoud Rizwan, founder; open-source)",https://docs.cline.bot/features/memory-bank,https://docs.cline.bot/features/memory-bank,https://docs.cline.bot/features/memory-bank,https://docs.cline.bot/features/memory-bank
Roo Code .roorules,text,no scale claim — markdown files,manual (file-based; human edits),Roo Code (open-source VS Code extension; community-maintained),https://docs.roocode.com/features/custom-instructions,https://docs.roocode.com/features/custom-instructions,https://docs.roocode.com/features/custom-instructions,https://docs.roocode.com/features/custom-instructions
Continue.dev .continue/rules,text,no scale claim — markdown files,manual (file-based; lexicographic load),"Continue.dev (Ty Dunn & Nate Sesti, co-founders; ex-Palantir; YC S23)",https://docs.continue.dev/customize/deep-dives/rules,https://docs.continue.dev/customize/deep-dives/rules,https://docs.continue.dev/customize/deep-dives/rules,https://docs.continue.dev/customize/deep-dives/rules
Zed .rules,text,no scale claim — single markdown file,manual (file-based; human edits),"Zed Industries (Nathan Sobo & Antonio Scandurra, co-founders; ex-GitHub Atom; a16z-backed)",https://zed.dev/docs/ai/rules,https://zed.dev/docs/ai/rules,https://zed.dev/docs/ai/rules,https://zed.dev/docs/ai/rules
Replit replit.md,text,no scale claim — single markdown file per project,manual (file-based; human edits),"Replit (Amjad Masad & Haya Odeh, co-founders; Y Combinator; a16z / Andreessen-backed)",https://docs.replit.com/replitai/replit-dot-md,https://docs.replit.com/replitai/replit-dot-md,https://docs.replit.com/replitai/replit-dot-md,https://docs.replit.com/replitai/replit-dot-md
Sourcegraph Cody — cody.json,text,no scale claim — JSON file per workspace,manual (file-based; human edits),"Sourcegraph (Quinn Slack & Beyang Liu, co-founders; a16z-backed)",https://docs.sourcegraph.com/cody/custom-commands,https://docs.sourcegraph.com/cody/custom-commands,https://docs.sourcegraph.com/cody/custom-commands,https://docs.sourcegraph.com/cody/custom-commands
Claude Code auto-memory,text,no scale claim — markdown files per project,append (no resolution — files accumulate; human can edit),Anthropic,https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory,https://docs.claude.com/en/docs/claude-code/memory
Superpowers episodic-memory plugin,text,no scale claim — per-project SQLite index,not applicable (read-only search over past sessions),obra (Jeremy Penner / open-source community),https://github.com/obra/episodic-memory,https://github.com/obra/episodic-memory,https://github.com/obra/episodic-memory,https://github.com/obra/episodic-memory
claude-mem,text,no scale claim — SQLite + FTS5 per project,append (no resolution — compression logs),thedotmack (open-source; no institutional affiliation),https://github.com/thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,https://github.com/thedotmack/claude-mem
Mem0 MCP (official),text,cloud-managed; no published per-user cap,LLM-arbitrate,Mem0 (YC S24; Taranjeet Singh & Deshraj Yadav),https://github.com/mem0ai/mem0-mcp,https://github.com/mem0ai/mem0-mcp,https://github.com/mem0ai/mem0-mcp,https://github.com/mem0ai/mem0-mcp
Graphiti MCP Server (Zep),text,no scale claim — local graph (no upper bound stated),bi-temporal versioning,Zep AI (YC W24; Daniel Chalef),https://www.getzep.com/product/knowledge-graph-mcp,https://www.getzep.com/product/knowledge-graph-mcp,https://www.getzep.com/product/knowledge-graph-mcp,https://www.getzep.com/product/knowledge-graph-mcp
mcp-memory-service (doobidoo),text,no scale claim — SQLite-Vec / Cloudflare Vectorize,LLM-arbitrate (autonomous consolidation),doobidoo (open-source; no institutional affiliation),https://github.com/doobidoo/mcp-memory-service,https://github.com/doobidoo/mcp-memory-service,https://github.com/doobidoo/mcp-memory-service,https://github.com/doobidoo/mcp-memory-service
OpenMemory MCP,text,no scale claim — local Postgres + Qdrant,LLM-arbitrate,Mem0 (YC S24; Taranjeet Singh & Deshraj Yadav),https://mem0.ai/openmemory,https://mem0.ai/openmemory,https://mem0.ai/openmemory,https://mem0.ai/openmemory
Cognee MCP,text,no scale claim — local vector + graph DB,LLM-arbitrate,Cognee (EU startup; Vasilije Markovic & Boris Arzentar),https://github.com/topoteretes/cognee,https://github.com/topoteretes/cognee,https://github.com/topoteretes/cognee,https://github.com/topoteretes/cognee
Hindsight MCP,text,no scale claim — local vector store,LLM-arbitrate,Vectorize / Hindsight (True Ventures; Chris Latimer & Chris Bartholomew),https://hindsight.vectorize.io/developer/mcp-server,https://hindsight.vectorize.io/developer/mcp-server,https://hindsight.vectorize.io/developer/mcp-server,https://hindsight.vectorize.io/developer/mcp-server
Memobase MCP,text,no scale claim — Postgres + Redis,LLM-arbitrate,Memobase (open-source; no institutional affiliation found),https://github.com/memodb-io/memobase,https://github.com/memodb-io/memobase,https://github.com/memodb-io/memobase,https://github.com/memodb-io/memobase
claude-supermemory,text,cloud-managed; no published per-user cap,LLM-arbitrate,"Supermemory (Dhravya Shah, solo founder; 19; Google AI-backed)",https://github.com/supermemoryai/claude-supermemory,https://github.com/supermemoryai/claude-supermemory,https://github.com/supermemoryai/claude-supermemory,https://github.com/supermemoryai/claude-supermemory
mcp-memory (Puliczek),text,no scale claim — Cloudflare Vectorize D1,LLM-arbitrate,Puliczek (open-source; no institutional affiliation),https://github.com/Puliczek/mcp-memory,https://github.com/Puliczek/mcp-memory,https://github.com/Puliczek/mcp-memory,https://github.com/Puliczek/mcp-memory
local-memory-mcp,text,no scale claim — SQLite + FTS5 per user,append (no resolution — decision-log accumulates),studiomeyer-io (open-source; no institutional affiliation),https://github.com/studiomeyer-io/local-memory-mcp,https://github.com/studiomeyer-io/local-memory-mcp,https://github.com/studiomeyer-io/local-memory-mcp,https://github.com/studiomeyer-io/local-memory-mcp
claude-brain,text,single .mv2 file (no upper bound stated),append (no resolution — Memvid append-only),Memvid project (open-source; no institutional affiliation),https://github.com/memvid/claude-brain,https://github.com/memvid/claude-brain,https://github.com/memvid/claude-brain,https://github.com/memvid/claude-brain
engram,text,no scale claim — SQLite + FTS5 per user,append (no resolution — agent decides what to save),Gentleman-Programming (open-source; no institutional affiliation),https://github.com/Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram
mcp-knowledge-graph,text,no scale claim — local KG files,LLM-arbitrate,shaneholloman (open-source fork of official MCP memory server; no institutional affiliation),https://github.com/shaneholloman/mcp-knowledge-graph,https://github.com/shaneholloman/mcp-knowledge-graph,https://github.com/shaneholloman/mcp-knowledge-graph,https://github.com/shaneholloman/mcp-knowledge-graph
Claude-CursorMemoryMCP,text,no scale claim — PostgreSQL + pgvector,LLM-arbitrate,Angleito (open-source; no institutional affiliation),https://github.com/Angleito/Claude-CursorMemoryMCP,https://github.com/Angleito/Claude-CursorMemoryMCP,https://github.com/Angleito/Claude-CursorMemoryMCP,https://github.com/Angleito/Claude-CursorMemoryMCP
Official MCP Memory server,text,no scale claim — local JSONL file,LLM-arbitrate,Anthropic / Model Context Protocol (Anthropic open-source),https://github.com/modelcontextprotocol/servers/tree/main/src/memory,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,https://github.com/modelcontextprotocol/servers/tree/main/src/memory
