row_name,mcp_support,mcp_cite,a2a_support,a2a_cite,otel,otel_cite,webhooks_events,webhooks_cite,import_export,import_export_cite
R³Mem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AI PERSONA,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
OASIS,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memolet,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Arigraph,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Knowledge Graph Tuning,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memoro,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MetaGPT,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Lyfe Agents,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemoChat,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
S³,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RecurrentGPT,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemoryBank,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RET-LLM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Generative Agents,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SCM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memoria (cognitive),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ReadAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
GAM (General Agentic Memory),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
TierMem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemInsight,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Engram (DeepSeek),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MemoryBench (Tsinghua THUIR),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemR³,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemMachine (paper),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MIA — Memory Intelligence Agent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemRL,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemEvolve,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
FLEX,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
UFO2,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
PRINCIPLES,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ToolMem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
H²R,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
BrowserAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LEGOMem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Alita-G,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ReasoningBank,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memento,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memp,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SEAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Agent KB,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemTool,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Darwin Gödel Machine,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Alita,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SkillWeaver,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LearnAct,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Dynamic Cheatsheet,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Inducing Programmatic Skills,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
COLA,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Planning from Imagination,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RepairAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SAGE,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Agent Workflow Memory,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Fincon,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Buffer of Thoughts,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
JARVIS-1,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ExpeL,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ToolLLM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CREATOR,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Reflexion,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Toolformer,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AgentEvolver,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ToolGen,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Retroformer,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MoT (Memory-of-Thought),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RMM (Reflective Memory Management),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Agentic Plan Caching (APC),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MPO,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Agentic Memory,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memory as Action,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
IterResearch,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemSearcher,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AgentFold,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
PRIME,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
DeepAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ACON,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ReSum,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Sculptor,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemAgent,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Agent S,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemoBrain,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Recurrent Memory Transformer (RMT),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ARMT (Associative RMT),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Infini-attention,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Transformer-XL,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Compressive Transformer,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
TransformerFAM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ATLAS,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LongMem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemLong,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
EM-LLM,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
NVIDIA Nemotron 3,no data — searched not found,,no data — searched not found,,no data — searched not found,,no,,Hugging Face checkpoints,https://huggingface.co/nvidia
Sakana CTM,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
NAVER Provence + PISCO,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
ShadowKV (ByteDance),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
IBM Meta-Tokens,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MemoryLLM (original),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
SELF-PARAM,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Anthropic Circuit Tracing,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MemLoRA,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Larimar,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memory Decoder,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MLP Memory,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AlphaEdit,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
ELDER,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
WISE,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SDM Activations,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
M+ (MemoryLLM),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memory³,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemGen,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MEM1,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RazorAttention,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SnapKV,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LM2,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SoftCoT,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
H2O,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memorizing Transformers,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memformer,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
EMAT,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MATTER,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemReasoner,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CDMem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Transformer²,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
NAMMs,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memory Layers at Scale,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Differentiable Search Index (DSI),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
MemBART,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AiT (Associative Transformer),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Memformers (gradient memory),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
WorkMATe,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
I-JEPA,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
V-JEPA 2,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
DreamerV3,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Dreamer 4,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
R2I,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Genie,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
V-JEPA (original),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
DIAMOND,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
PWM (Policy Learning with Large World Models),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
RIKEN Tensor Decomposition Incremental Learning,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
EWC (Elastic Weight Consolidation),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
CL of LLMs Survey,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
FOREVER,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SERS,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Neural Episodic Control,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
EMU (Efficient Episodic Memory Utilization),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
HAMI,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
LLM-ACTR / Cognitive LLMs,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Human-Like Remembering and Forgetting,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
SYNAPSE,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
HeLa-Mem,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
NL2GenSym,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
AriGraph,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
Dual-Process Agent (DPA),"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",,"not applicable — research paper, no deployed product",
