section,row_name,field,value,source_url,notes
observability,AgentOps,hq,San Francisco CA,https://techcrunch.com/2024/08/28/san-franciscos-ai-hackathons-agency-lets-you-see-what-your-ai-agents-do/,Born from SF AI hackathon scene
observability,LangSmith,created,2023 (LangSmith beta summer 2023; GA Feb 2024 with $25M Series A),https://blog.langchain.com/three-years-langchain/,LangChain launched Oct 2022; LangSmith in development from start
observability,LangSmith,modalities,text (LLM trace + RAG retrieval span + agent memory step instrumentation),https://www.langchain.com/langsmith,Confirmed from LangSmith docs
observability,LangSmith,funding,LangChain total ~$35M+ ($3M seed Benchmark 2023; $25M Series A Sequoia Feb 2024; $125M Oct 2025 unicorn round at $1.25B valuation),https://techcrunch.com/2025/10/21/open-source-agentic-startup-langchain-hits-1-25b-valuation/,LangSmith is LangChain's commercial observability product
observability,LangSmith,customers,no data — searched not found; LangChain widely used (100k+ GitHub stars on langchain repo) but named LangSmith customers not published,https://www.langchain.com/langsmith,Enterprise customer list not public
observability,LangSmith,pricing,Developer: free (5K traces/mo); Plus: $39/seat/mo (10K traces); Enterprise: custom (SSO/SAML; dedicated support),https://www.langchain.com/pricing,Confirmed May 2026
observability,LangSmith,compliance,SOC 2 Type II (Enterprise tier); SAML SSO,https://www.langchain.com/langsmith,Enterprise compliance available
observability,LangSmith,data_handling,cloud SaaS; no self-host option publicly announced; Enterprise: dedicated tenant,https://www.langchain.com/langsmith,Cloud-only SaaS
observability,LangSmith,deployment,SaaS cloud (US); Enterprise: dedicated tenant,https://www.langchain.com/langsmith,Python/TypeScript SDK
observability,LangSmith,hq,San Francisco CA,https://www.langchain.com/,Harrison Chase founded in SF 2022
governance,Lakera Guard / Lakera Red,created,2021 (founded 2021; Lakera Guard product launched Aug 2023; $10M seed 2023; $20M Series A Jul 2024),https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,"Note: acquired by Check Point Software for ~$300M (date in 2025/2026, searched but not confirmed)"
governance,Lakera Guard / Lakera Red,funding,$30M total ($10M seed Redalpine/Atomico 2023; $20M Series A Jul 2024 Redpoint Ventures + Dropbox VC + Citi Ventures); Check Point acquisition pending,https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,Check Point announced acquisition
governance,Lakera Guard / Lakera Red,customers,no data — searched not found; enterprise AI security market; no named customers published,https://www.lakera.ai/,Dual-hq Zurich + San Francisco
governance,Lakera Guard / Lakera Red,pricing,Developer: free (10K API calls/mo); Pro: contact sales (higher volume + advanced detection); Enterprise: custom (on-prem option),https://platform.lakera.ai/pricing,Sub-100ms p99 REST API confirmed
governance,Lakera Guard / Lakera Red,compliance,SOC 2 (enterprise); Swiss data sovereignty options (Zurich HQ),https://www.lakera.ai/,European AI Act compliance framing
governance,Lakera Guard / Lakera Red,data_handling,SaaS cloud API (default) or self-hosted (Enterprise); sub-100ms screening; prompts/responses sent to Lakera servers in SaaS mode,https://www.lakera.ai/lakera-guard,Enterprise self-host available
governance,Lakera Guard / Lakera Red,deployment,REST API (SaaS cloud) or self-hosted Enterprise deployment,https://docs.lakera.ai/docs,Both cloud and on-prem
governance,Lakera Guard / Lakera Red,hq,Zurich Switzerland + San Francisco CA,https://www.lakera.ai/about,Dual HQ confirmed
governance,Lakera Guard / Lakera Red,mindshare,no data — searched not found; no GitHub repo; AI security leader in Europe; $30M raised,https://www.lakera.ai/,Significant enterprise mindshare in EU AI security
governance,Mem0 Security / OpenMemory,created,2024-01 (Mem0 launched Jan 2024; security features and HIPAA BAA added with enterprise tier),https://mem0.ai/series-a,Security posture built in from early 2024
governance,Mem0 Security / OpenMemory,funding,$24M total ($3.9M seed Kindred + $20M Series A Basis Set + YC + Peak XV Oct 2025),https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/,YC S24 company
governance,Mem0 Security / OpenMemory,customers,80k+ developers; AWS Agent SDK exclusive memory provider; 186M API calls/mo Q3 2025,https://mem0.ai/series-a,Named enterprise customer: AWS
governance,Mem0 Security / OpenMemory,pricing,Hobby free; Starter $19/mo; Pro $249/mo; Enterprise custom with SOC2/HIPAA,https://mem0.ai/pricing,SOC 2 + HIPAA requires Enterprise tier
governance,Mem0 Security / OpenMemory,compliance,SOC 2 Type II + HIPAA BAA (Enterprise); BYOK encryption; zero-trust access controls,https://mem0.ai/security,Confirmed from security page
governance,Mem0 Security / OpenMemory,data_handling,cloud-managed US East (default); Enterprise VPC isolation; OpenMemory: local Docker Compose Postgres+Qdrant,https://mem0.ai/security,Full audit logs + real-time monitoring
governance,Mem0 Security / OpenMemory,deployment,SaaS cloud; Enterprise VPC; OpenMemory self-hosted (Docker Compose),https://mem0.ai/security,Three deployment options
governance,Mem0 Security / OpenMemory,hq,San Francisco CA (YC S24),https://www.ycombinator.com/companies/mem0,YC S24 confirmed
governance,Enkrypt AI,pricing,free starter + pay-as-you-go; Enterprise: contact sales,https://www.enkryptai.com/,No published per-call rate found
governance,Enkrypt AI,compliance,no data — searched not found; FedRAMP/HIPAA positioning in financial and healthcare verticals,https://www.enkryptai.com/,No specific certification found in search
governance,Enkrypt AI,data_handling,SaaS cloud API; real-time screening of prompts and responses; no self-host confirmed,https://www.enkryptai.com/platform-overview,Sub-100ms latency; all data passes through Enkrypt servers in SaaS mode
governance,Enkrypt AI,deployment,REST API SaaS (cloud-hosted); no self-host option confirmed,https://www.enkryptai.com/,MongoDB Atlas Vector Search integration documented
governance,Acuvity (now Proofpoint),created,2023 (founded by cybersecurity veterans; acquired by Proofpoint Feb 12 2026),https://www.proofpoint.com/us/newsroom/press-releases/proofpoint-acquires-acuvity-deliver-ai-security-and-governance-across,Acquisition Feb 12 2026; founded 2023
governance,Acuvity (now Proofpoint),funding,no public funding data found — pre-acquisition private company; acquired by Proofpoint for undisclosed amount,https://www.businesswire.com/news/home/20260212979507/en/Proofpoint-Acquires-Acuvity-to-Deliver-AI-Security-and-Governance-Across-the-Agentic-Workspace,Private acquisition; no funding round data public
governance,Acuvity (now Proofpoint),customers,no data — searched not found; enterprise AI security; Proofpoint has 200k+ customers globally,https://www.proofpoint.com/us/newsroom/press-releases/proofpoint-acquires-acuvity-deliver-ai-security-and-governance-across,Post-acquisition customer base is Proofpoint's
governance,Acuvity (now Proofpoint),pricing,enterprise pricing via Proofpoint (not public); contact sales,https://acuvity.ai/,Post-acquisition: part of Proofpoint enterprise platform
governance,Acuvity (now Proofpoint),compliance,Proofpoint enterprise compliance (SOC 2 FedRAMP ISO 27001); Acuvity's own certs not confirmed,https://www.proofpoint.com/us/,Proofpoint is enterprise DLP vendor with broad compliance
governance,Acuvity (now Proofpoint),data_handling,enterprise deployment; runtime inspection of AI/MCP traffic; data handling under Proofpoint's enterprise DLP framework,https://acuvity.ai/ai-runtime-security/,Acquired Feb 2026 for enterprise DLP integration
governance,Acuvity (now Proofpoint),deployment,on-prem or cloud (Proofpoint enterprise deployment); agentless approach,https://acuvity.ai/ai-runtime-security/,Model-agnostic and agentless
governance,Acuvity (now Proofpoint),hq,Sunnyvale CA (acquired by Proofpoint Sunnyvale),https://www.proofpoint.com/us/newsroom/press-releases/proofpoint-acquires-acuvity-deliver-ai-security-and-governance-across,Acuvity founded in Sunnyvale CA
governance,Acuvity (now Proofpoint),mindshare,no data — searched not found; Proofpoint acquisition is major enterprise signal,https://www.proofpoint.com/us/newsroom/press-releases/proofpoint-acquires-acuvity-deliver-ai-security-and-governance-across,Proofpoint has 200k+ enterprise customers
governance,HiddenLayer AISec Platform 2.0,created,2022-03 (founded March 2022; emerged from stealth July 2022 with $6M seed; Series A $50M Sep 2023),https://hiddenlayer.com/company/newsroom/hiddenlayer-raises-series-a-to-safeguard-ai/,Founded March 2022 Austin TX
governance,HiddenLayer AISec Platform 2.0,funding,$56M total ($6M seed Ten Eleven Ventures Jul 2022; $50M Series A M12+Moore Strategic Sep 2023),https://www.prnewswire.com/news-releases/hiddenlayer-raises-50m-in-series-a-funding-to-safeguard-ai-301931260.html,"M12 (Microsoft VC) IBM Ventures Capital One Ventures participated in Series A"
governance,HiddenLayer AISec Platform 2.0,customers,no data — searched not found; US DoD SBIR contract (Phase 2); enterprise AI security positioning,https://hiddenlayer.com/company/newsroom/hiddenlayer-awarded-phase-2-sbir-grant-by-the-u-s-department-of-defense/,DoD contract is key customer signal
governance,HiddenLayer AISec Platform 2.0,pricing,enterprise pricing; contact sales; no public pricing,https://www.hiddenlayer.com/platform,Enterprise SaaS
governance,HiddenLayer AISec Platform 2.0,compliance,FedRAMP path (DoD SBIR contract); SOC 2 enterprise; US Gov compliance focus,https://hiddenlayer.com/company/newsroom/hiddenlayer-awarded-phase-2-sbir-grant-by-the-u-s-department-of-defense/,DoD SBIR indicates government compliance trajectory
governance,HiddenLayer AISec Platform 2.0,data_handling,SaaS cloud or on-prem (agentless — no access to weights required); model-agnostic,https://www.hiddenlayer.com/platform,Model Genealogy AIBOM approach is supply-chain layer
governance,HiddenLayer AISec Platform 2.0,deployment,SaaS cloud or on-prem enterprise; agentless; no weights or training data access needed,https://www.hiddenlayer.com/platform,Confirmed from product page
governance,HiddenLayer AISec Platform 2.0,hq,Austin TX,https://austinstartups.com/companies/hidden-layer,Confirmed Austin TX
governance,HiddenLayer AISec Platform 2.0,mindshare,no data — searched not found; $56M raised + DoD contract = strong enterprise signal,https://hiddenlayer.com/,Growing enterprise AI security vendor
governance,Zep — governance posture,created,2023 (Zep AI founded 2023; YC W24; bi-temporal governance posture described in product from 2024),https://www.ycombinator.com/companies/zep-ai,Zep AI founded 2023; YC W24 batch
governance,Zep — governance posture,funding,$500K pre-seed (YC W24 March 2024); total ~$3.5M,https://www.crunchbase.com/organization/zep-ai,Small seed; growing via MRR
governance,Zep — governance posture,customers,no data — searched not found; $1M ARR in 2024 with 5-person team (Latka data),https://getlatka.com/companies/getzep.com,Revenue signal but no named customers
governance,Zep — governance posture,pricing,free: 2500 messages/mo; paid: $1.25/1000 messages; Enterprise: custom HIPAA BAA VPC,https://www.getzep.com/pricing/,SOC 2 Type II + HIPAA BAA confirmed
governance,Zep — governance posture,compliance,SOC 2 Type II + HIPAA BAA (Enterprise); BYOK + VPC-isolated deployment,https://www.getzep.com/product/agent-memory/,Confirmed from product page
governance,Zep — governance posture,data_handling,cloud-managed (default) or self-hosted Graphiti OSS + Neo4j; Enterprise: BYOK BYOM BYOC,https://www.getzep.com/product/agent-memory/,Flexible data residency
governance,Zep — governance posture,deployment,SaaS cloud; self-hosted (Graphiti OSS); Enterprise: BYOC VPC,https://www.getzep.com/pricing/,Multiple deployment options
governance,Zep — governance posture,hq,San Francisco CA (Oakland area per some sources),https://www.ycombinator.com/companies/zep-ai,YC W24 San Francisco
governance,Zep — governance posture,mindshare,no data — searched not found as governance product specifically; Graphiti has 25.7k GitHub stars,https://github.com/getzep/graphiti,Governance posture is architectural property of Zep not a separate product
governance,OWASP Agent Memory Guard,created,2026-Q1 (OWASP project page set up Q1 2026; v0.2.1 with OWASP branding; v0.3.0 roadmap Q2 2026),https://owasp.org/www-project-agent-memory-guard/,OWASP ASI06 Memory Poisoning reference implementation
governance,OWASP Agent Memory Guard,funding,not applicable — OWASP Foundation open-source project; community-maintained,https://owasp.org/www-project-agent-memory-guard/,OWASP is 501c3 non-profit
governance,OWASP Agent Memory Guard,customers,not applicable — open-source policy framework; not a commercial product,https://owasp.org/www-project-agent-memory-guard/,Community adoption
governance,OWASP Agent Memory Guard,pricing,free / open source,https://owasp.org/www-project-agent-memory-guard/,OWASP project; free
governance,OWASP Agent Memory Guard,compliance,provides compliance framework for OWASP ASI06 (Memory Poisoning); reference for EU AI Act and NIST AI RMF,https://owasp.org/www-project-agent-memory-guard/,Framework for compliance; not itself a compliant product
governance,OWASP Agent Memory Guard,data_handling,local / offline — YAML policies and SHA-256 baselines run on local memory files; no data sent externally,https://owasp.org/www-project-agent-memory-guard/,Offline enforcement
governance,OWASP Agent Memory Guard,deployment,local deployment; Python; run against local memory stores,https://owasp.org/www-project-agent-memory-guard/,Q2 2026 roadmap: Redis + Postgres + Prometheus backends
governance,OWASP Agent Memory Guard,hq,not applicable — OWASP Foundation; global community,https://owasp.org/,OWASP is globally distributed
governance,OWASP Agent Memory Guard,mindshare,no data — searched not found; brand-new OWASP project Q1 2026,https://owasp.org/www-project-agent-memory-guard/,OWASP Top 10 for Agentic Applications references this category
governance,Microsoft Agent Governance Toolkit,funding,not applicable — Microsoft Research; no external funding,https://github.com/microsoft/agent-governance-toolkit,Microsoft internal research project
governance,Microsoft Agent Governance Toolkit,customers,no data — searched not found; MIT-licensed OSS; no commercial customer list,https://github.com/microsoft/agent-governance-toolkit,Enterprise adoption likely via Microsoft ecosystem
governance,Microsoft Agent Governance Toolkit,pricing,free / open source (MIT),https://github.com/microsoft/agent-governance-toolkit,No paid tier; enterprise value is in Microsoft ecosystem integration
governance,Microsoft Agent Governance Toolkit,compliance,MIT-licensed tooling; Microsoft Azure enterprise compliance stack available separately,https://github.com/microsoft/agent-governance-toolkit,Not itself a compliance product
governance,Microsoft Agent Governance Toolkit,data_handling,local enforcement (sub-millisecond p99 action interception); no mandatory cloud dependency,https://github.com/microsoft/agent-governance-toolkit,Rust/Go/Python/TS/.NET agents
governance,Microsoft Agent Governance Toolkit,deployment,library/SDK integration; multi-language (Python TypeScript Rust Go .NET); LangChain/CrewAI/Google ADK integrations,https://github.com/microsoft/agent-governance-toolkit,April 2026; v3.4.0 latest
governance,Microsoft Agent Governance Toolkit,hq,not applicable — Microsoft Corporation (Redmond WA),https://github.com/microsoft/agent-governance-toolkit,Microsoft Research project
governance,Microsoft Agent Governance Toolkit,mindshare,1.4k GitHub stars (+50/mo); growing signal for enterprise governance tooling,https://github.com/microsoft/agent-governance-toolkit,Released March 2026; strong initial signal
theoretical,From Human Memory to AI Memory (survey),modalities,text (survey paper; no implementation),https://arxiv.org/abs/2504.15965,8-quadrant taxonomy paper
theoretical,From Human Memory to AI Memory (survey),mindshare,73 citations (Semantic Scholar 2025-04 to present); above-average for a 1-year-old survey,https://www.semanticscholar.org/paper/18ee9dcd91f50f62973425947b1abd34cc283dbb,Cognitive-science bridge positioning
theoretical,Externalization in LLM Agents,modalities,text (conceptual review paper),https://arxiv.org/abs/2604.08224,April 9 2026 preprint
theoretical,Externalization in LLM Agents,mindshare,1 citation (too recent — April 2026),https://www.semanticscholar.org/paper/35f6a7fab163e5a55b6878281cf2a25f41f2106c,Brand-new preprint; minimal signal
theoretical,Memory as Metabolism,founders,Stefan Miteski — CODE University Berlin,https://arxiv.org/abs/2604.12034,Confirmed from arxiv abstract; sole author
theoretical,Memory as Metabolism,citations,0 (too recent — April 13 2026; Semantic Scholar not yet indexed),https://arxiv.org/abs/2604.12034,April 2026 preprint; no citations yet
theoretical,Memory as Metabolism,modalities,text (design paper; no implementation),https://arxiv.org/abs/2604.12034,Theoretical / normative framework
theoretical,Memory as Metabolism,mindshare,no data — searched not found; very recent preprint April 2026,https://arxiv.org/abs/2604.12034,Self-described within 2026 governance-proposals cluster
theoretical,LLM as OS Kernel,created,2023-09 (Andrej Karpathy tweet September 28 2023),https://x.com/karpathy/status/1707437820045062561,Tweet date confirmed
theoretical,LLM as OS Kernel,modalities,not applicable — tweet/blog concept only,https://x.com/karpathy/status/1707437820045062561,No implementation
theoretical,LLM as OS Kernel,mindshare,no formal citation count (tweet not indexed); estimated 100k+ impressions based on Karpathy's 1M+ followers; widely reproduced in blog posts and academic memory papers,https://x.com/karpathy/status/1707437820045062561,Informal concept; foundational vocabulary for the field
theoretical,LLM OS Specs,created,2023-11 (Karpathy tweet November 2023),https://x.com/karpathy/status/1723140519554105733,Tweet date confirmed
theoretical,LLM OS Specs,modalities,not applicable — tweet concept only,https://x.com/karpathy/status/1723140519554105733,No implementation
theoretical,LLM OS Specs,mindshare,no formal citation count; widely referenced follow-up to LLM as OS Kernel tweet,https://x.com/karpathy/status/1723140519554105733,Operationalizes the kernel metaphor with concrete numbers
theoretical,Context Engineering,created,2025-06 (Karpathy tweet June 2025 + YC AI Startup School keynote),https://x.com/karpathy/status/1937902205765607626,Tweet + YC keynote June 2025
theoretical,Context Engineering,modalities,not applicable — conceptual naming event,https://x.com/karpathy/status/1937902205765607626,Renamed "prompt engineering" to "context engineering"
theoretical,Context Engineering,mindshare,no formal citation count; widely adopted term — "context engineering" now standard vocabulary in 2025-2026 agent discourse,https://x.com/karpathy/status/1937902205765607626,Naming event with major community impact
