system_name,modalities,volume_claim,conflict_resolution,source_url_modalities,source_url_volume,source_url_conflict
Cresta,voice + text,internal — undisclosed,none specified,https://cresta.com,https://cresta.com,https://cresta.com
PolyAI,voice,no scale claim,overwrite,https://poly.ai,https://poly.ai,https://poly.ai
Intercom Fin,text,internal — undisclosed,overwrite,https://fin.ai,https://fin.ai,https://fin.ai
Replicant,voice,500M+ minutes handled (vendor claim),overwrite,https://www.replicant.com,https://www.replicant.com,https://www.replicant.com
LivePerson Conversation Context Service,text,internal — undisclosed (enterprise telco / finance / retail),overwrite,https://developers.liveperson.com/conversation-orchestrator-conversation-context-service-overview.html,https://developers.liveperson.com/conversation-orchestrator-conversation-context-service-overview.html,https://developers.liveperson.com/conversation-orchestrator-conversation-context-service-overview.html
Salesforce Agentforce / Einstein,text,internal — undisclosed (dominant CRM market),overwrite,https://www.salesforce.com/artificial-intelligence/,https://www.salesforce.com/artificial-intelligence/,https://www.salesforce.com/artificial-intelligence/
Inworld AI,text,no scale claim,LLM-arbitrate,https://inworld.ai,https://inworld.ai,https://inworld.ai
Convai (Mimir),voice + text,no scale claim (15k+ developers),none specified,https://convai.com,https://convai.com,https://convai.com
Charisma.ai,text,no scale claim,overwrite,https://charisma.ai,https://charisma.ai,https://charisma.ai
Latitude / Voyage,text,no scale claim (millions of AI Dungeon players),none specified,https://latitude.io,https://latitude.io,https://latitude.io
Character.ai,text,internal — undisclosed (hundreds of millions of users),overwrite,https://character.ai,https://character.ai,https://character.ai
Replika,text,internal — undisclosed (millions of users globally),append (no resolution),https://replika.ai,https://replika.ai,https://replika.ai
Nomi AI,text,no scale claim,append (no resolution),https://nomi.ai,https://nomi.ai,https://nomi.ai
Soul Machines,voice + text,internal — undisclosed (Fortune 500 enterprise clients),none specified,https://www.soulmachines.com/,https://www.soulmachines.com/,https://www.soulmachines.com/
Spirit AI Character Engine,text,no scale claim,overwrite,https://www.spiritai.com/character-engine/,https://www.spiritai.com/character-engine/,https://www.spiritai.com/character-engine/
Figure Helix,vision + sensor + text,no scale claim (500 hours of human demos),overwrite,https://www.figure.ai/helix,https://www.figure.ai/helix,https://www.figure.ai/helix
π0.5 (Physical Intelligence),vision + sensor + text,no scale claim,append (no resolution),https://www.pi.website/blog/pi05,https://www.pi.website/download/pi05.pdf,https://www.pi.website/blog/pi05
NVIDIA Isaac GR00T N1.7,vision + sensor + text,no scale claim (open foundation model),not applicable,https://arxiv.org/abs/2503.14734,https://arxiv.org/abs/2503.14734,https://arxiv.org/abs/2503.14734
NVIDIA ReMEmbR,vision + sensor + text,no scale claim (research; Nova Carter robot),append (no resolution),https://arxiv.org/abs/2409.13682,https://arxiv.org/abs/2409.13682,https://arxiv.org/abs/2409.13682
MemoryVLA,vision + sensor + text,no scale claim (research),append (no resolution),https://arxiv.org/abs/2508.19236,https://arxiv.org/abs/2508.19236,https://arxiv.org/abs/2508.19236
SG-Nav,vision + sensor + text,no scale claim (research navigation benchmark),append (no resolution),https://arxiv.org/abs/2410.08189,https://arxiv.org/abs/2410.08189,https://arxiv.org/abs/2410.08189
Meta-Memory,vision + sensor + text,no scale claim (research),append (no resolution),https://arxiv.org/abs/2509.20754,https://arxiv.org/abs/2509.20754,https://arxiv.org/abs/2509.20754
GWM (Gaussian World Models),vision + sensor,no scale claim (research; ICCV 2025),overwrite,https://gaussian-world-model.github.io/,https://gaussian-world-model.github.io/,https://gaussian-world-model.github.io/
Wayve GAIA-2 / GAIA-3,vision + sensor,no scale claim (15B params; closed weights),append (no resolution),https://wayve.ai/thinking/gaia-3/,https://wayve.ai/thinking/gaia-3/,https://arxiv.org/abs/2503.20523
Tesla FSD V13 — Occupancy + 4D World,vision + sensor,1.5 PB fleet data from 4M+ vehicles (vendor claim),overwrite,https://www.thinkautonomous.ai/blog/occupancy-networks/,https://www.thinkautonomous.ai/blog/occupancy-networks/,https://www.thinkautonomous.ai/blog/occupancy-networks/
Sanctuary AI Carbon (Phoenix Gen 7/8),vision + sensor + text,no scale claim (110+ tasks in commercial deployment),none specified,https://www.sanctuary.ai/,https://www.sanctuary.ai/,https://www.sanctuary.ai/
Skild Brain,vision + sensor,internal — undisclosed ($30M ARR; $14B valuation),overwrite,https://www.skild.ai/,https://www.skild.ai/,https://www.skild.ai/
ELSA Speak,voice,50M+ users (pronunciation profiles; vendor claim),overwrite,https://elsaspeak.com/en/,https://elsaspeak.com/en/,https://elsaspeak.com/en/
Duolingo Max,voice + text,internal — undisclosed (~1.1M Max subscribers),overwrite,https://blog.duolingo.com/duolingo-max/,https://blog.duolingo.com/duolingo-max/,https://blog.duolingo.com/duolingo-max/
Quizlet AI Study Tools / Magic Notes,text,600M+ study sets (vendor claim),overwrite,https://quizlet.com/features/ai-study-tools,https://quizlet.com/features/ai-study-tools,https://quizlet.com/features/ai-study-tools
MagicSchool,text,internal — undisclosed (~6M educators; 40% US public schools),not applicable,https://www.magicschool.ai/,https://www.magicschool.ai/,https://www.magicschool.ai/
Khanmigo,text,internal — undisclosed (700k student users),append (no resolution),https://www.khanmigo.ai/,https://www.khanmigo.ai/,https://www.khanmigo.ai/
SchoolAI,text,internal — undisclosed (1M+ classrooms; 400+ districts),append (no resolution),https://schoolai.com/,https://schoolai.com/,https://schoolai.com/
Speak,voice + text,internal — undisclosed (10M+ users; $100M revenue 2025),overwrite,https://www.speak.com/,https://www.speak.com/,https://www.speak.com/
