system,section,field,value,source_url,notes
Fellou,Browser-agent memory,data_handling,"no data — searched not found (no public data handling policy found for Fellou's Agentic Memory)",https://fellou.ai/,Operates on logged-in accounts — data handling scope not publicly documented
Fellou,Browser-agent memory,deployment,Managed-only (browser app),https://fellou.ai/,Desktop app; no self-hosted option
Fellou,Browser-agent memory,founders,"Yang Xie (co-founder; 2021 Forbes U30 Asia; serial entrepreneur; former ByteDance and Authing CEO)",https://www.globenewswire.com/news-release/2025/08/12/3131385/0/en/Fellou-Announces-Next-Generation-Agentic-AI-Browser-Transforming-the-Future-of-Work.html,LongRiver Investments; global team of LLM and browser experts; other co-founders not named in available sources
Fellou,Browser-agent memory,conflict_resolution,none specified,https://fellou.ai/,Agentic Memory layer — no conflict resolution mechanism documented
Browserbase,Browser-agent memory,data_handling,"Zero Data Retention option (disable logging/session recording via API); choose data center for sovereignty; no AI model training on session data",https://www.browserbase.com/privacy-policy,Per Browserbase privacy policy and enterprise security docs (docs.browserbase.com/guides/security)
Browserbase,Browser-agent memory,conflict_resolution,none specified,https://www.browserbase.com/,Session-based persistence model — no semantic memory conflict resolution
Brave Leo,Browser-agent memory,created,"no data — searched not found (Leo launched in beta late 2023; Android availability announced; exact GA date not confirmed)",https://brave.com/leo/,Leo beta launched 2023; memory feature added iteratively
Brave Leo,Browser-agent memory,funding,"Brave Software $316.6M total raised; $980M valuation (Series A-7 Feb 2022 led by Page One Ventures)",https://sacra.com/c/brave/,Company-level funding — Leo not separately funded
Brave Leo,Browser-agent memory,compliance,"Privacy-first architecture; TEE-based (Intel TDX + Nvidia TEE via Near AI); no formal SOC2/ISO certifications found",https://brave.com/blog/browser-ai-tee/,Brave emphasizes anonymization and unlinkable tokens over traditional compliance certifications
Brave Leo,Browser-agent memory,data_handling,"Conversations not stored or logged after response generated; no IP linkage via anonymization proxy; no data sharing with model creators; user-curated local-only memory",https://brave.com/blog/browser-ai-tee/,Unlinkable premium tokens; Trusted Execution Environments for verifiable privacy
Brave Leo,Browser-agent memory,founders,"Brendan Eich (CEO; creator of JavaScript; co-founder of Mozilla) and Brian Bondy (CTO; ex-Mozilla and Khan Academy); founded 2015",https://brave.com/about/,Brave Software founded 2015; Leo is integrated browser AI feature
Brave Leo,Browser-agent memory,conflict_resolution,none specified,https://brave.com/leo/,User-curated local memory — no automatic conflict resolution
Opera AI (formerly Aria),Browser-agent memory,created,"no data — searched not found (Aria integrated browser AI launched May 2023; memory feature shipped Opera Developer Feb 2025)",https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,Aria launched May 2023; memory specifically shipped Feb 2025 in Opera Developer build
Opera AI (formerly Aria),Browser-agent memory,funding,"Opera public (OPRA on NASDAQ); founded 1995; market cap ~$1.5B",https://investor.opera.com/,Public company — no startup funding rounds
Opera AI (formerly Aria),Browser-agent memory,customers,"~350M global Opera browser users; no memory-feature-specific count disclosed",https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,Opera claims 350M users globally; memory feature is subset
Opera AI (formerly Aria),Browser-agent memory,pricing,"Free (included with Opera browser); Opera One Pro has additional AI credits",https://www.opera.com/,Core browser + Aria AI is free; premium features in Opera One Pro
Opera AI (formerly Aria),Browser-agent memory,compliance,"no data — searched not found for specific certifications; third-party LLM providers (OpenAI/Google) process conversation data anonymously",https://seraphicsecurity.com/learn/ai-browser/opera-ai-formerly-aria-key-features-pros-cons-and-security-concerns/,Third-party model processing may anonymize but not prevent data retention by providers
Opera AI (formerly Aria),Browser-agent memory,data_handling,"Third-party AI model providers process conversation data; may be stored anonymously by partners temporarily; memory stored locally alongside prompt not in LLM",https://seraphicsecurity.com/learn/ai-browser/opera-ai-formerly-aria-key-features-pros-cons-and-security-concerns/,Memory off by default; stored alongside prompt (not in model weights)
Opera AI (formerly Aria),Browser-agent memory,deployment,Managed-only (Opera browser),https://www.opera.com/,No self-hosted option; built into Opera browser
Opera AI (formerly Aria),Browser-agent memory,hq,"Oslo, Norway",https://investor.opera.com/,Founded 1995 in Oslo; NASDAQ-listed (OPRA)
Opera AI (formerly Aria),Browser-agent memory,founders,"Founded 1995 by Jon Stephenson von Tetzchner (also founded Vivaldi) and Geir Ivarsøy; current CEO Yahya Bharmal (since 2023)",https://en.wikipedia.org/wiki/Opera_(web_browser),Current product leadership separate from original founders
Opera AI (formerly Aria),Browser-agent memory,conflict_resolution,none specified,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,User-declared overwrite model — no conflict resolution
Sigma (Private AI Browser),Browser-agent memory,created,"no data — searched not found (SigmaOS founded 2021 YC; Sigma Eclipse/private AI browser launched 2024-2025)",https://www.newswire.com/news/sigma-launches-the-first-private-ai-browser-with-cloudless-llm-22695605,SigmaOS (now Sigma) YC batch W21; local LLM browser relaunch circa 2024
Sigma (Private AI Browser),Browser-agent memory,funding,"$4.1M total raised: $4M seed (Nov 2022 led by LocalGlobe + YC); additional ~$0.1M angels",https://techcrunch.com/2022/11/16/sigmaos-raises-4-million-to-build-a-browser-for-productivity-nerds/,YC W21; LocalGlobe led seed; 7percent Ventures + Moonfire + Shine VC participated
Sigma (Private AI Browser),Browser-agent memory,customers,"no data — searched not found (50k+ users early 2026; named customers not disclosed)",https://www.sigmabrowser.com/,50k+ users; 33% MoM growth claimed; no named enterprise customers
Sigma (Private AI Browser),Browser-agent memory,pricing,"no data — searched not found (no explicit pricing page found for Sigma browser in May 2026)",https://www.sigmabrowser.com/,Free during early access; pricing model unclear
Sigma (Private AI Browser),Browser-agent memory,compliance,"no data — searched not found (no formal compliance certifications published for Sigma)",https://www.sigmabrowser.com/,Local-only architecture as primary privacy mechanism — no published SOC2/ISO
Sigma (Private AI Browser),Browser-agent memory,data_handling,"Fully on-device; no cloud processing; no telemetry; memory-based actions stay local; functions fully offline",https://www.sigmabrowser.com/,Local LLM (Eclipse model) — zero cloud data handling by design
Sigma (Private AI Browser),Browser-agent memory,deployment,Managed-only (browser app install),https://www.sigmabrowser.com/,Desktop app — no server infrastructure option
Sigma (Private AI Browser),Browser-agent memory,hq,"San Francisco, CA, US",https://startupintros.com/orgs/sigmaos,Per SigmaOS/Sigma company profile
Sigma (Private AI Browser),Browser-agent memory,founders,"Nick Trenkler (co-founder); Alex Shapiro (CSO); Mahyad Ghassemi (founding CEO mentioned in YC/TechCrunch 2022)",https://techcrunch.com/2024/03/26/yc-backed-sigmaos-browser-turns-to-ai-powered-features-for-monetization/,YC W21 batch
Sigma (Private AI Browser),Browser-agent memory,conflict_resolution,none specified,https://www.sigmabrowser.com/,Local append-based memory — no conflict resolution documented
