row_name,consistency_model,consistency_cite,versioning,versioning_cite,tombstoning,tombstoning_cite,schema_evolution,schema_evolution_cite,namespace,namespace_cite,contradiction,contradiction_cite,forgetting,forgetting_cite
Dynamic Cheatsheet,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always overwrite (last-write-wins),inferred from primary tags (storage/update/governance),TTL-based,inferred from primary tags (storage/update/governance)
ELDER,N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,no data,not specified - paper does not address this dimension,taxonomy/tags.json
ELSA Speak,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://elsaspeak.com/en/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
EM-LLM,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2407.09450,consolidation/summarization,taxonomy/tags.json
EMAT,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LRU eviction,inferred from primary tags (storage/update/governance)
EMU (Efficient Episodic Memory Utilization),not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2403.01112,consolidation/summarization,taxonomy/tags.json
EVOLVE-MEM,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://openreview.net/forum?id=dfPQrg1WA5,consolidation/summarization,taxonomy/tags.json
EWC (Elastic Weight Consolidation),N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json
Elasticsearch / OpenSearch,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.elastic.co/,none (permanent),inferred from primary tags (storage/update/governance)
Elicit,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,always append (no resolution),https://elicit.com/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Engram (DeepSeek),N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Enkrypt AI,not specified - vendor docs do not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,N/A,https://www.enkryptai.com/platform/capabilities/ai-risk-removal,N/A,inferred from primary tags (storage/update/governance)
Episodic Memory Is the Missing Piece,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2502.06975,not specified - paper does not address this dimension,taxonomy/tags.json
Era Computer,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json
Eve — Shared Firm Knowledge + Auditor,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://www.eve.legal/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
EverMemOS,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
ExpeL,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,no data,not specified - paper does not address this dimension,taxonomy/tags.json
Externalization in LLM Agents,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2604.08224,not specified - paper does not address this dimension,taxonomy/tags.json
FLARE,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
FLEX,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2511.06449,not specified - paper does not address this dimension,taxonomy/tags.json
FOREVER,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2601.03938,consolidation/summarization,taxonomy/tags.json
FalkorDB,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.falkordb.com/,none (permanent),inferred from primary tags (storage/update/governance)
Fellou,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Figure Helix,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.figure.ai/helix,TTL-based,inferred from primary tags (storage/update/governance)
Files Are All You Need,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json
Filevine LOIS,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://www.filevine.com/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Fincon,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2407.06567,not specified - paper does not address this dimension,taxonomy/tags.json
Flowise Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
Four-Type Agent Memory Taxonomy,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json,"not applicable - theoretical concept, no implementation",taxonomy/tags.json
Friend,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),always append (no resolution),https://friend.com,none (permanent),inferred from primary tags (storage/update/governance)
From Human Memory to AI Memory (survey),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,no data - searched not found,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json
FutureHouse,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://www.futurehouse.org/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
G-Memory,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2506.07398,not specified - paper does not address this dimension,taxonomy/tags.json
GAM (General Agentic Memory),strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2511.18423,N/A,inferred from primary tags (storage/update/governance)
GWM (Gaussian World Models),N/A,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://gaussian-world-model.github.io/,none (permanent),inferred from primary tags (storage/update/governance)
Galileo (galileo.ai),not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always append (no resolution),inferred from primary tags (storage/update/governance),none (permanent),inferred from primary tags (storage/update/governance)
Generative Agents,not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),inferred from primary tags (storage/update/governance),none (permanent),inferred from primary tags (storage/update/governance)
Generative Semantic Workspace (GSW),not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2511.07587,N/A,inferred from primary tags (storage/update/governance)
Genie,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
GitHub Copilot custom instructions,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),version both with timestamps,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,user-controlled forget,inferred from primary tags (storage/update/governance)
Glean,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Google ADK Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,per-tenant,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://google.github.io/adk-docs/sessions/memory/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
Google Gemini Memory,eventual,https://support.google.com/gemini/answer/15637730,none,https://support.google.com/gemini/answer/15637730,hard-delete supported,https://support.google.com/gemini/answer/15637730,free-form / no schema,https://support.google.com/gemini/answer/15637730,per-user,https://support.google.com/gemini/answer/15637730,LLM resolves and overwrites,https://support.google.com/gemini/answer/15637730,user-controlled forget,https://support.google.com/gemini/answer/15637730
Granola,strong,inferred from primary tags (storage/update/governance),immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always append (no resolution),https://www.granola.ai,user-controlled forget,inferred from primary tags (storage/update/governance)
GraphRAFT,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2504.05478,not specified - paper does not address this dimension,taxonomy/tags.json
GraphRAG (Microsoft),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Graphiti MCP Server (Zep),not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),version both with timestamps,https://www.getzep.com/product/knowledge-graph-mcp,none (permanent),inferred from primary tags (storage/update/governance)
Grok Memory (xAI),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,hard-delete supported,inferred from primary tags (storage/update/governance),free-form / no schema,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/,user-controlled forget,inferred from primary tags (storage/update/governance)
H2O,strong,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,no data,LRU eviction,taxonomy/tags.json
HAMI,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://www.nature.com/articles/s41598-025-10586-x,consolidation/summarization,taxonomy/tags.json
HELMET,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Harvey Memory,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Haystack Memory (deepset),not specified - paper does not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always append (no resolution),https://haystack.deepset.ai/,none (permanent),inferred from primary tags (storage/update/governance)
HeLa-Mem,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2604.16839,consolidation/summarization,taxonomy/tags.json
Hebbia Matrix,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Heidi Health,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,soft-delete only,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),per-user,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
Heptabase,not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),hard-delete supported,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),always overwrite (last-write-wins),https://heptabase.com/,user-controlled forget,inferred from primary tags (storage/update/governance)
Heyday,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always append (no resolution),inferred from primary tags (storage/update/governance),user-controlled forget,inferred from primary tags (storage/update/governance)
HiRAG,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,https://arxiv.org/abs/2503.10150,N/A,inferred from primary tags (storage/update/governance)
HiddenLayer AISec Platform 2.0,not specified - vendor docs do not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,N/A,https://www.hiddenlayer.com/platform,N/A,inferred from primary tags (storage/update/governance)
Hindsight (Vectorize),not specified - vendor docs do not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),consolidation/summarization,taxonomy/tags.json
Hindsight MCP,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://hindsight.vectorize.io/developer/mcp-server,not specified - vendor docs do not address this dimension,taxonomy/tags.json
HippoRAG / HippoRAG2,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Hippocratic AI Polaris,not specified - vendor docs do not address this dimension,taxonomy/tags.json,immutable append-log,taxonomy/tags.json,append-only no delete,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),always append (no resolution),https://hippocraticai.com/personalized-interactions/,none (permanent),inferred from primary tags (storage/update/governance)
Human-Like Remembering and Forgetting,not specified - paper does not address this dimension,taxonomy/tags.json,snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://dl.acm.org/doi/10.1145/3765766.3765803,consolidation/summarization,taxonomy/tags.json
HyDE,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Hyperspell,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),per-tenant,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json
H²R,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,LLM resolves and overwrites,https://arxiv.org/abs/2509.12810,not specified - paper does not address this dimension,taxonomy/tags.json
I-JEPA,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
IBM Meta-Tokens,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2506.00307,LRU eviction,inferred from primary tags (storage/update/governance)
ICLR 2026 MemAgents Workshop,N/A,inferred from primary tags (storage/update/governance),not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,not specified - vendor docs do not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,https://sites.google.com/view/memagent-iclr26/,not specified - vendor docs do not address this dimension,taxonomy/tags.json
ITER-RETGEN,not specified - paper does not address this dimension,taxonomy/tags.json,none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),schema with migration,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
ImplicitMemBench,N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2604.08064,N/A,inferred from primary tags (storage/update/governance)
Inducing Programmatic Skills,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),hierarchical,inferred from primary tags (storage/update/governance),LLM resolves and overwrites,https://arxiv.org/abs/2504.06821,not specified - paper does not address this dimension,taxonomy/tags.json
Infini-attention,strong,inferred from primary tags (storage/update/governance),snapshots,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,schema locked,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,https://arxiv.org/abs/2404.07143,consolidation/summarization,taxonomy/tags.json
InfiniteBench (∞Bench),N/A,inferred from primary tags (storage/update/governance),none,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance),N/A,inferred from primary tags (storage/update/governance)
Inngest AgentKit — Network State,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,not specified - paper does not address this dimension,taxonomy/tags.json,free-form / no schema,inferred from primary tags (storage/update/governance),not specified - paper does not address this dimension,taxonomy/tags.json,always overwrite (last-write-wins),https://agentkit.inngest.com/concepts/memory,TTL-based,inferred from primary tags (storage/update/governance)
