row_name,api_surface,api_surface_cite,latency,latency_cite,throughput,throughput_cite,backend_storage,backend_storage_cite,multi_tenancy,multi_tenancy_cite,encryption,encryption_cite,sso_rbac,sso_rbac_cite,embedding_model,embedding_model_cite
D-SMART,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
DIAMOND,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
DSPy History,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Darwin Gödel Machine,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Databricks Vector Search,"REST, SDK: Python",https://docs.databricks.com/en/generative-ai/vector-search.html,no data — searched not found,https://docs.databricks.com/en/generative-ai/vector-search.html,no data — searched not found,https://docs.databricks.com/en/generative-ai/vector-search.html,Delta Lake (columnar/lakehouse),https://docs.databricks.com/en/generative-ai/vector-search.html,hard-isolation,https://www.databricks.com/trust,at-rest + in-transit,https://www.databricks.com/trust,SSO + RBAC,https://www.databricks.com/trust,multiple supported,https://docs.databricks.com/en/generative-ai/vector-search.html
Decagon,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Decagon%20documentation%20API
DeepAgent,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
DeepScribe,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API,no data — searched not found,https://www.google.com/search?q=DeepScribe%20documentation%20API
Devin (Cognition),"REST, Slack integration",https://docs.devin.ai/,no data — searched not found,https://devin.ai/,no data — searched not found,https://devin.ai/,custom,https://devin.ai/,hard-isolation,https://www.cognition.ai/security,at-rest + in-transit,https://www.cognition.ai/security,SSO + RBAC,https://www.cognition.ai/security,locked,https://devin.ai/
Dgraph,"GraphQL, gRPC, REST, SDK: Go, JS, Python, Java",https://dgraph.io/docs/,no data — searched not found,https://dgraph.io/,no data — searched not found,https://dgraph.io/,custom (Badger LSM-backed),https://github.com/dgraph-io/dgraph,namespace,https://dgraph.io/docs/,at-rest + in-transit,https://dgraph.io/docs/,SSO + RBAC,https://dgraph.io/docs/,BYO,https://dgraph.io/docs/
Dia (Atlassian),no data — searched not found,https://www.atlassian.com/,no data — searched not found,https://www.atlassian.com/,no data — searched not found,https://www.atlassian.com/,custom,https://www.atlassian.com/,hard-isolation,https://www.atlassian.com/trust,at-rest + in-transit,https://www.atlassian.com/trust,SSO + RBAC,https://www.atlassian.com/trust,locked,https://www.atlassian.com/
Diffbot,"REST, GraphQL",https://docs.diffbot.com/,no data — searched not found,https://www.diffbot.com/,no data — searched not found,https://www.diffbot.com/,custom,https://www.diffbot.com/,hard-isolation,https://www.diffbot.com/,at-rest + in-transit,https://www.diffbot.com/,SSO + RBAC,https://www.diffbot.com/,locked,https://www.diffbot.com/
Differentiable Search Index (DSI),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Dreamer 4,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
DreamerV3,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Dual-Process Agent (DPA),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Duolingo Max,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Duolingo%20Max%20documentation%20API
Dynamic Cheatsheet,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
ELDER,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
ELSA Speak,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ELSA%20Speak%20documentation%20API
EM-LLM,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
EMAT,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
EMU (Efficient Episodic Memory Utilization),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
EVOLVE-MEM,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
EWC (Elastic Weight Consolidation),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Elasticsearch / OpenSearch,"REST, SDK: many",https://www.elastic.co/docs/api,no data — searched not found,https://www.elastic.co/elasticsearch,no data — searched not found,https://www.elastic.co/elasticsearch,custom (Lucene-backed),https://www.elastic.co/elasticsearch,hard-isolation,https://www.elastic.co/security,at-rest + in-transit,https://www.elastic.co/security,SSO + RBAC,https://www.elastic.co/security,multiple supported,https://www.elastic.co/guide/en/machine-learning/current/ml-nlp-text-emb-vector-search.html
Elicit,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Elicit%20documentation%20API
Engram (DeepSeek),no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Engram%20%28DeepSeek%29%20documentation%20API
Enkrypt AI,REST,https://www.enkryptai.com/,no data — searched not found,https://www.enkryptai.com/,no data — searched not found,https://www.enkryptai.com/,custom,https://www.enkryptai.com/,hard-isolation,https://www.enkryptai.com/,at-rest + in-transit,https://www.enkryptai.com/,SSO + RBAC,https://www.enkryptai.com/,locked,https://www.enkryptai.com/
Episodic Memory Is the Missing Piece,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Era Computer,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,
Eve — Shared Firm Knowledge + Auditor,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Eve%20%E2%80%94%20Shared%20Firm%20Knowledge%20%2B%20Auditor%20documentation%20API
EverMemOS,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
ExpeL,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Externalization in LLM Agents,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
FLARE,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
FLEX,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
FOREVER,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
FalkorDB,"Redis protocol, Cypher, SDK: Python, JS, Java",https://docs.falkordb.com/,no data — searched not found,https://www.falkordb.com/,no data — searched not found,https://www.falkordb.com/,Redis,https://docs.falkordb.com/,namespace,https://docs.falkordb.com/,at-rest + in-transit,https://www.falkordb.com/,RBAC only,https://docs.falkordb.com/,BYO,https://docs.falkordb.com/
Fellou,not applicable — consumer browser,https://fellou.ai/,not applicable — consumer browser,https://fellou.ai/,not applicable — consumer browser,https://fellou.ai/,custom,https://fellou.ai/,hard-isolation,https://fellou.ai/,at-rest + in-transit,https://fellou.ai/,no data — searched not found,https://fellou.ai/,locked,https://fellou.ai/
Figure Helix,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Figure%20Helix%20documentation%20API
Files Are All You Need,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,
Filevine LOIS,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Filevine%20LOIS%20documentation%20API
Fincon,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Flowise Memory,"REST, SDK: JS/TS",https://docs.flowiseai.com/,no data — searched not found,https://flowiseai.com/,no data — searched not found,https://flowiseai.com/,pluggable,https://docs.flowiseai.com/,namespace,https://docs.flowiseai.com/,no data — searched not found,https://flowiseai.com/,SSO + RBAC,https://docs.flowiseai.com/,multiple supported,https://docs.flowiseai.com/
Four-Type Agent Memory Taxonomy,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,,not applicable — theoretical / not a system,
Friend,not applicable — consumer device,https://www.friend.com/,not applicable — consumer device,https://www.friend.com/,not applicable — consumer device,https://www.friend.com/,custom,https://www.friend.com/,hard-isolation (per device),https://www.friend.com/,at-rest + in-transit,https://www.friend.com/,not applicable — consumer,https://www.friend.com/,locked,https://www.friend.com/
From Human Memory to AI Memory (survey),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
FutureHouse,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API,no data — searched not found,https://www.google.com/search?q=FutureHouse%20documentation%20API
G-Memory,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
GAM (General Agentic Memory),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
GWM (Gaussian World Models),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Galileo (galileo.ai),"REST, SDK: Python",https://docs.galileo.ai/,no data — searched not found,https://www.galileo.ai/,no data — searched not found,https://www.galileo.ai/,custom,https://www.galileo.ai/,hard-isolation,https://www.galileo.ai/security,at-rest + in-transit,https://www.galileo.ai/security,SSO + RBAC,https://www.galileo.ai/security,locked,https://www.galileo.ai/
Generative Agents,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Generative Semantic Workspace (GSW),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Genie,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
GitHub Copilot custom instructions,not applicable — IDE feature,https://docs.github.com/en/copilot/customizing-copilot/about-customizing-github-copilot-chat-responses,not applicable — IDE feature,https://docs.github.com/en/copilot/,not applicable — IDE feature,https://docs.github.com/en/copilot/,file (.github/copilot-instructions.md),https://docs.github.com/en/copilot/customizing-copilot/about-customizing-github-copilot-chat-responses,hard-isolation (per repo/org),https://github.com/security,at-rest + in-transit,https://github.com/security,SSO + RBAC,https://github.com/security,not applicable — instruction file,https://docs.github.com/en/copilot/
Glean,"REST, SDK: Python, JS/TS",https://developers.glean.com/,no data — searched not found,https://www.glean.com/,no data — searched not found,https://www.glean.com/,custom,https://www.glean.com/,hard-isolation,https://www.glean.com/security,at-rest + in-transit,https://www.glean.com/security,SSO + RBAC,https://www.glean.com/security,locked,https://www.glean.com/
Google ADK Memory,SDK: Python,https://google.github.io/adk-docs/,not applicable — library,https://google.github.io/adk-docs/,not applicable — library,https://google.github.io/adk-docs/,pluggable (Vertex AI Memory Bank),https://google.github.io/adk-docs/,namespace,https://google.github.io/adk-docs/,not applicable — library,https://google.github.io/adk-docs/,not applicable — library,https://google.github.io/adk-docs/,multiple supported,https://google.github.io/adk-docs/
Google Gemini Memory,not applicable — consumer feature,https://gemini.google/,not applicable — consumer feature,https://gemini.google/,not applicable — consumer feature,https://gemini.google/,custom (Google-managed),https://gemini.google/,hard-isolation,https://safety.google/,at-rest + in-transit,https://safety.google/,SSO + RBAC (Workspace),https://workspace.google.com/security/,not applicable — consumer feature,https://gemini.google/
Granola,no data — searched not found,https://www.granola.ai/,no data — searched not found,https://www.granola.ai/,no data — searched not found,https://www.granola.ai/,custom,https://www.granola.ai/,hard-isolation,https://www.granola.ai/,at-rest + in-transit,https://www.granola.ai/security,SSO + RBAC,https://www.granola.ai/security,locked,https://www.granola.ai/
GraphRAFT,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
GraphRAG (Microsoft),Python SDK / CLI,https://microsoft.github.io/graphrag/,not applicable — open-source library,https://microsoft.github.io/graphrag/,not applicable — open-source library,https://microsoft.github.io/graphrag/,Parquet files / pluggable,https://microsoft.github.io/graphrag/,not applicable — library,https://microsoft.github.io/graphrag/,not applicable — library,https://microsoft.github.io/graphrag/,not applicable — library,https://microsoft.github.io/graphrag/,BYO,https://microsoft.github.io/graphrag/
Graphiti MCP Server (Zep),MCP (stdio/HTTP),https://github.com/getzep/graphiti,no data — searched not found,https://github.com/getzep/graphiti,no data — searched not found,https://github.com/getzep/graphiti,Neo4j,https://github.com/getzep/graphiti,namespace,https://github.com/getzep/graphiti,no data — searched not found,https://github.com/getzep/graphiti,no data — searched not found,https://github.com/getzep/graphiti,multiple supported,https://github.com/getzep/graphiti
Grok Memory (xAI),not applicable — consumer feature,https://x.ai/,not applicable — consumer feature,https://x.ai/,not applicable — consumer feature,https://x.ai/,custom (xAI-managed),https://x.ai/,hard-isolation,https://x.ai/,at-rest + in-transit,https://x.ai/,no data — searched not found,https://x.ai/,not applicable — consumer feature,https://x.ai/
H2O,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
HAMI,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
HELMET,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",,"not applicable — eval dataset, not a system",
Harvey Memory,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Harvey%20Memory%20documentation%20API
Haystack Memory (deepset),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
HeLa-Mem,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Hebbia Matrix,no data — searched not found,https://www.hebbia.com/,no data — searched not found,https://www.hebbia.com/,no data — searched not found,https://www.hebbia.com/,no data — searched not found,https://www.hebbia.com/,hard-isolation,https://www.hebbia.com/security,at-rest + in-transit,https://www.hebbia.com/security,SSO + RBAC,https://www.hebbia.com/security,no data — searched not found,https://www.hebbia.com/
Heidi Health,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heidi%20Health%20documentation%20API
Heptabase,not applicable — consumer PKM app,https://heptabase.com/,not applicable — consumer PKM app,https://heptabase.com/,not applicable — consumer PKM app,https://heptabase.com/,custom (local SQLite + sync),https://heptabase.com/,hard-isolation,https://heptabase.com/,at-rest + in-transit,https://heptabase.com/,not applicable — consumer,https://heptabase.com/,locked,https://heptabase.com/
Heyday,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Heyday%20documentation%20API
HiRAG,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
HiddenLayer AISec Platform 2.0,REST,https://hiddenlayer.com/,no data — searched not found,https://hiddenlayer.com/,no data — searched not found,https://hiddenlayer.com/,custom,https://hiddenlayer.com/,hard-isolation,https://hiddenlayer.com/,at-rest + in-transit,https://hiddenlayer.com/,SSO + RBAC,https://hiddenlayer.com/,locked,https://hiddenlayer.com/
Hindsight (Vectorize),"REST, SDK: Python, TS",https://vectorize.io/,no data — searched not found,https://vectorize.io/,no data — searched not found,https://vectorize.io/,custom,https://vectorize.io/,namespace,https://vectorize.io/,at-rest + in-transit,https://vectorize.io/,no data — searched not found,https://vectorize.io/,multiple supported,https://vectorize.io/
Hindsight MCP,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hindsight%20MCP%20documentation%20API
HippoRAG / HippoRAG2,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Hippocratic AI Polaris,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hippocratic%20AI%20Polaris%20documentation%20API
Human-Like Remembering and Forgetting,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
HyDE,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
Hyperspell,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API,no data — searched not found,https://www.google.com/search?q=Hyperspell%20documentation%20API
H²R,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
I-JEPA,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
